Number,Strain,Parents,HatchDate,DeathDate,Lifespan_days,BodyLength_cm,Observed,FeedingScheme,Sex,Lifespan_weeks,Lifespan_3weeks
521,GRZ,GRZ,2019-09-25,2020-01-14,111,5.0,1,DR,f,16,6
522,GRZ,GRZ,2019-09-25,2019-12-30,96,5.0,1,AL,f,14,5
523,GRZ,GRZ,2019-09-25,2020-05-01,219,5.5,1,DR,m,32,11
524,GRZ,GRZ,2019-09-25,2019-12-24,90,4.3,1,DR,f,13,5
525,GRZ,GRZ,2019-09-25,2019-11-25,61,,0,DR,f,9,3
526,GRZ,GRZ,2019-09-25,2020-01-02,99,6.1,1,AL,m,15,5
527,GRZ,GRZ,2019-09-25,2020-02-10,138,4.7,1,AL,f,20,7
528,GRZ,GRZ,2019-09-25,2019-12-29,95,,1,DR,f,14,5
529,GRZ,GRZ,2019-09-25,2020-01-29,126,4.3,1,DR,f,18,6
530,GRZ,GRZ,2019-09-25,2020-01-23,120,5.0,1,DR,m,18,6
532,GRZ,GRZ,2019-09-25,2020-01-02,99,5.9,1,AL,m,15,5
533,GRZ,GRZ,2019-09-25,2019-12-02,68,,1,AL,f,10,4
534,GRZ,GRZ,2019-09-25,2019-12-23,89,5.3,1,DR,m,13,5
535,GRZ,GRZ,2019-09-25,2020-03-11,168,5.5,1,DR,m,24,8
536,GRZ,GRZ,2019-09-25,2020-01-17,114,6.0,1,DR,m,17,6
537,GRZ,GRZ,2019-09-25,2020-02-05,133,5.0,1,DR,m,19,7
575,GRZ,GRZ,2019-10-09,2020-02-23,137,6.1,1,AL,m,20,7
553,GRZ,GRZ,2019-10-09,2020-02-18,132,6.1,1,AL,m,19,7
555,GRZ,GRZ,2019-10-09,2020-02-05,119,5.9,1,AL,m,17,6
572,GRZ,GRZ,2019-10-09,2020-04-28,202,6.5,1,AL,m,29,10
558,GRZ,GRZ,2019-10-09,2020-01-18,101,6.0,1,AL,m,15,5
559,GRZ,GRZ,2019-10-09,2020-03-06,149,5.5,1,AL,m,22,8
562,GRZ,GRZ,2019-10-09,2020-02-20,134,6.1,1,AL,m,20,7
574,GRZ,GRZ,2019-10-09,2020-01-12,95,5.7,1,AL,m,14,5
568,GRZ,GRZ,2019-10-09,2020-01-18,101,6.0,1,AL,m,15,5
566,GRZ,GRZ,2019-10-09,2020-02-06,120,5.6,1,AL,m,18,6
