Number,Strain,Parents,HatchDate,Single2.8LHoused,PlacedFeeder,StartedFeedingRegime,BodyLength_pixel,pixels_10cm,BodyLength_cm,DeathDate,BodyLength_cm_1,Observed,FeedingScheme,Sex,Column16,Lifespan_days,Lifespan_weeks,Lifespan_3weeks
370,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,237.226,834.6203333,2.842322317,2019-09-02,4.7,1,DR,m,,138,20,7
371,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,264.544,834.6203333,3.169632819,2019-08-20,6.0,1,AL,m,,125,18,6
372,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,284.549,834.6203333,3.409322642,2020-05-29,,1,DR,m,,408,59,20
373,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,249.218,834.6203333,2.986004415,2019-08-28,4.9,1,AL,f,,133,19,7
375,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,214.457,834.6203333,2.56951564,2019-09-12,6.1,1,AL,m,,148,22,8
378,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,214.067,834.6203333,2.564842857,2019-07-27,3.2,0,DR,f,,101,15,5
379,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,240.438,834.6203333,2.880806882,2019-07-31,4.0,1,DR,f,,105,15,5
380,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,252.334,834.6203333,3.023338756,2019-09-27,5.5,1,AL,m,,163,24,8
381,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,285.727,834.6203333,3.423436844,2019-08-24,4.8,1,DR,m,,129,19,7
382,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,206.814,834.6203333,2.477941068,2019-06-11,,0,DR,f,,55,8,3
383,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,271.035,834.6203333,3.247404708,2019-09-16,5.3,1,DR,m,,152,22,8
384,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,184.792,834.6203333,2.214084568,2019-08-04,4.5,1,AL,f,,109,16,6
385,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,191.299,834.6203333,2.292048161,2019-08-18,4.5,1,DR,f,,123,18,6
386,GRZ,GRZ,2019-04-12,4/22/19,4/24/19,4/24/19,270.74,834.6203333,3.243870167,2019-08-30,5.0,1,DR,m,,140,20,7
387,GRZ,GRZ,2019-04-12,4/22/19,4/24/19,4/24/19,266.506,834.6203333,3.193140514,2019-06-22,4.9,1,AL,m,,71,11,4
388,GRZ,GRZ,2019-04-12,4/22/19,4/24/19,4/24/19,212.735,834.6203333,2.548883504,2019-06-14,,0,AL,f,,63,9,3
390,GRZ,GRZ,2019-04-12,4/22/19,4/24/19,4/24/19,228.302,834.6203333,2.735399449,2019-07-22,4.8,1,DR,m,,101,15,5
391,GRZ,GRZ,2019-04-12,4/22/19,4/24/19,4/24/19,247.46,834.6203333,2.964940945,2019-08-10,6.1,1,AL,m,,120,18,6
392,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,240.194,834.6203333,2.877883397,2019-08-29,5.7,1,AL,m,,134,20,7
393,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,220.675,834.6203333,2.644016581,2019-08-11,5.1,1,DR,m,,116,17,6
395,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,198.073,834.6203333,2.373210813,2019-08-31,4.1,1,DR,f,,136,20,7
397,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,223.266,834.6203333,2.675060636,2019-09-09,5.4,1,DR,m,,145,21,7
398,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,266.365,834.6203333,3.191451123,2019-09-14,4.9,1,DR,m,,150,22,8
400,GRZ,GRZ,2019-04-17,4/22/19,4/24/19,4/24/19,192.094,834.6203333,2.30157345,2019-06-15,,0,AL,m,,59,9,3
402,GRZ,GRZ,2019-04-12,4/22/19,4/24/19,4/24/19,250.57,834.6203333,3.002203397,2019-09-13,6.2,1,AL,m,,154,22,8
