"","recording_num","t1","fishnum"
"1",1,NA,"t9"
"2",2,NA,"t9"
"3",3,NA,"t9"
"4",4,9.95,"t9"
"5",5,3.4,"t9"
"6",6,4.95,"t9"
"7",7,1.6,"t9"
"8",8,NA,"t9"
"9",9,3.4,"t9"
"10",10,3.15,"t9"
"11",11,2.75,"t9"
"12",12,0.45,"t9"
"13",13,1.6,"t9"
"14",14,1.5,"t9"
"15",15,8.5,"t9"
"16",16,1.55,"t9"
"17",17,18,"t9"
