"","recording_num","t1","fishnum"
"1",1,NA,"t15"
"2",2,NA,"t15"
"3",3,NA,"t15"
"4",4,NA,"t15"
"5",5,4.25,"t15"
"6",6,11.65,"t15"
"7",7,NA,"t15"
"8",8,NA,"t15"
"9",9,10.35,"t15"
"10",10,10.55,"t15"
"11",11,13.3,"t15"
"12",12,NA,"t15"
"13",13,16.65,"t15"
"14",14,14.6,"t15"
"15",15,0.45,"t15"
"16",16,13.85,"t15"
"17",17,14.65,"t15"
