"","recording_num","t1","fishnum"
"1",1,NA,"t26"
"2",2,NA,"t26"
"3",3,NA,"t26"
"4",4,NA,"t26"
"5",5,NA,"t26"
"6",6,6.15,"t26"
"7",7,6.55,"t26"
"8",8,14.6,"t26"
"9",9,17.5,"t26"
"10",10,8.7,"t26"
"11",11,NA,"t26"
"12",12,11,"t26"
"13",13,0.55,"t26"
"14",14,10.6,"t26"
"15",15,6.75,"t26"
"16",16,8.3,"t26"
"17",17,9.9,"t26"
