"","recording_num","t1","fishnum"
"1",1,NA,"t13"
"2",2,NA,"t13"
"3",3,NA,"t13"
"4",4,NA,"t13"
"5",5,18,"t13"
"6",6,NA,"t13"
"7",7,NA,"t13"
"8",8,NA,"t13"
"9",9,9.75,"t13"
"10",10,1.9,"t13"
"11",11,7.35,"t13"
"12",12,15.75,"t13"
"13",13,13.3,"t13"
"14",14,4.65,"t13"
"15",15,NA,"t13"
"16",16,5.4,"t13"
"17",17,0.45,"t13"
