"","recording_num","t1","fishnum"
"1",1,NA,"t20"
"2",2,NA,"t20"
"3",3,NA,"t20"
"4",4,18,"t20"
"5",5,0.8,"t20"
"6",6,NA,"t20"
"7",7,7.4,"t20"
"8",8,1.2,"t20"
"9",9,16.75,"t20"
"10",10,2.15,"t20"
"11",11,0.45,"t20"
"12",12,2.5,"t20"
"13",13,1.25,"t20"
"14",14,NA,"t20"
"15",15,NA,"t20"
"16",16,1.7,"t20"
"17",17,NA,"t20"
