"","recording_num","t1","fishnum"
"1",1,NA,"t5"
"2",2,13.55,"t5"
"3",3,18,"t5"
"4",4,NA,"t5"
"5",5,NA,"t5"
"6",6,17.75,"t5"
"7",7,9.6,"t5"
"8",8,2.1,"t5"
"9",9,17.35,"t5"
"10",10,1.3,"t5"
"11",11,10.95,"t5"
"12",12,2,"t5"
"13",13,4.4,"t5"
"14",14,18,"t5"
"15",15,0.45,"t5"
"16",16,2.35,"t5"
"17",17,6.3,"t5"
