"","recording_num","t1","fishnum"
"1",1,15.55,"t4"
"2",2,NA,"t4"
"3",3,15.75,"t4"
"4",4,NA,"t4"
"5",5,3.25,"t4"
"6",6,5.6,"t4"
"7",7,NA,"t4"
"8",8,3.75,"t4"
"9",9,3.5,"t4"
"10",10,4.35,"t4"
"11",11,NA,"t4"
"12",12,NA,"t4"
"13",13,NA,"t4"
"14",14,2.1,"t4"
"15",15,1.55,"t4"
"16",16,4.8,"t4"
"17",17,3.05,"t4"
