"","recording_num","t1","fishnum"
"1",1,NA,"t14"
"2",2,10.1,"t14"
"3",3,7.1,"t14"
"4",4,3.25,"t14"
"5",5,0.45,"t14"
"6",6,7.25,"t14"
"7",7,NA,"t14"
"8",8,NA,"t14"
"9",9,3.2,"t14"
"10",10,1.3,"t14"
"11",11,2.55,"t14"
"12",12,NA,"t14"
"13",13,2.2,"t14"
"14",14,9.6,"t14"
"15",15,NA,"t14"
"16",16,5.4,"t14"
"17",17,1.8,"t14"
