"","recording_num","t1","fishnum"
"1",1,13.2,"t2"
"2",2,NA,"t2"
"3",3,6.7,"t2"
"4",4,NA,"t2"
"5",5,3.2,"t2"
"6",6,NA,"t2"
"7",7,1.35,"t2"
"8",8,7.85,"t2"
"9",9,4.3,"t2"
"10",10,NA,"t2"
"11",11,NA,"t2"
"12",12,1.7,"t2"
"13",13,1.8,"t2"
"14",14,1.65,"t2"
"15",15,1.95,"t2"
"16",16,13.75,"t2"
"17",17,1.55,"t2"
