"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"LOC107375582"	1.28106471450573	1.05558120021016	1.74709071335832	0.604193698781147	0.545714869782177	NA
"LOC107388276"	1.84096067711674	-2.05480881210684	1.67013432654625	-1.23032547708667	0.218575247570285	NA
"LOC107382448"	1.11151699933865	0.352983506190131	1.80389208089973	0.19567883795691	0.844861549055706	NA
"LOC107377727"	40.269261781289	-0.338481870889155	1.13414551570977	-0.298446598078138	0.765362328412528	0.991084045031103
"pex1"	301.760933171733	-0.0469373174872612	0.396977010661329	-0.118236865679118	0.905879980228598	0.994480060216406
"LOC107393665"	19.5067618410344	-0.70075333360799	0.840978797512419	-0.833259216142891	0.404698552250126	0.978448555962173
"LOC107377394"	3.08314326606447	2.55889841544959	1.60567674918872	1.59365726429214	0.111012820988989	NA
"zbtb41"	106.197090755147	-0.989074126120521	0.506064086582871	-1.95444441196985	0.0506486827752111	0.889672844647204
"LOC107377691"	310.380720779879	0.171295269841016	0.397026864996945	0.431445035444475	0.666144809977134	0.988376493289451
"tuba4a"	1455.70878048065	-0.713626146099763	0.606529524138404	-1.17657280923545	0.239366055858705	0.974339246886441
"nup107"	698.922755648052	-0.579946261560205	0.413867600880581	-1.40128451786576	0.161129009024278	0.956059920481091
"pcif1"	180.141600865002	0.0851706634871265	0.605897714327069	0.140569375776108	0.888210142558923	0.993489570098117
"LOC107380988"	12905.5834663712	0.0388451000783952	0.363837509742768	0.10676496798216	0.914975440077284	0.996244270347371
"LOC107373113"	43.3935544545447	-0.282427970982299	0.656303364198487	-0.430331438765692	0.666954560801419	0.988376493289451
"LOC107395481"	10.2794293078893	0.0211678389013716	0.857969985477258	0.0246720039857766	0.980316585863827	0.997901187662384
"cnksr1"	649.602120785269	0.274775738850653	0.420913673680089	0.65280782267837	0.51388017982976	0.982710775721754
"LOC107376497"	335.239254805212	0.551099882806906	0.397776127537616	1.38545238050966	0.165914183783113	0.956059920481091
"LOC107391344"	204.104029038078	-0.358633759480609	0.543597907292709	-0.659740875874081	0.509420130666375	0.982710775721754
"mmp23b"	5.21951541586326	0.577866891764618	1.5135748915316	0.381789427796247	0.702617561233535	0.988710886070118
"LOC107394246"	785.570332400872	-0.144570470903096	0.329916677378864	-0.438202979163363	0.661239149166644	0.988376493289451
"LOC107373117"	1.44081908562876	-1.56292902549445	1.73070011220632	-0.903061723097716	0.366493137352539	NA
"sox4"	89.6591646818725	1.77361506315839	0.562005983243017	3.15586509048153	0.00160022857764577	0.348915015126172
"LOC107384880"	14.4237094316018	0.0355446998694366	1.13131878709902	0.0314188187050107	0.974935533403088	0.997601674100065
"hdc"	8.79099578562936	-0.133097239153422	1.1358291940768	-0.117180681609089	0.906716875284708	0.994839334197802
"LOC107388498"	1.63101545882594	0.567766226685938	1.65904469842381	0.342224791909072	0.732181729160852	NA
"slc25a16"	301.835257885537	-0.525323368028733	0.333639585280268	-1.57452350142278	0.115366472688073	0.934040360109859
"LOC107390631"	1.17544725458288	0.602662587136038	1.78446159804277	0.337727966685891	0.735568197446764	NA
"ift43"	28.1633862795413	-1.10791275243993	0.703434716657409	-1.57500436956612	0.115255435959171	0.934040360109859
"znf839"	151.815617755765	-0.074169303347332	0.48833447874079	-0.151882176205505	0.879279866517591	0.992838602289371
"LOC107376001"	1.09656202617276	-0.250596284935536	1.80365700528044	-0.138937882425474	0.889499235418813	NA
"ptpn23"	230.885424677742	-0.328629002278412	0.562919896944521	-0.58379354516012	0.559359221535799	0.982710775721754
"LOC107374154"	11.9008255697857	-0.959926936619595	0.814728547743924	-1.17821689110777	0.2387101503419	0.974339246886441
"LOC107385261"	20.2798001901029	-1.63056711410126	1.05971423121798	-1.53868568154187	0.123881049567544	0.93723156485922
"cit"	10.194666908256	0.0186699401670959	1.50775576513665	0.0123826024073626	0.990120365189412	0.998890830140936
"rab13"	11.7889071091688	-0.752533155555613	0.810140551010718	-0.928892097324057	0.352945008894666	0.978448555962173
"LOC107390810"	4.40066076178498	0.386038574776998	1.50045461735866	0.257281073556603	0.796961801917153	0.991583667269708
"usp12"	419.146915860906	-0.216666016644367	0.222569896830529	-0.9734740399747	0.330317756351324	0.978448555962173
"agpat5"	758.457279662809	-0.147563446546653	0.42957731020481	-0.343508474589356	0.731215966469757	0.989208531671945
"LOC107384508"	13.6819121595833	-0.524838043313162	0.90118288654836	-0.582387938283377	0.560305404175587	0.982710775721754
"LOC107390383"	2.67475208853539	-0.646201236414393	1.59623497911243	-0.404828389848785	0.68560365899763	NA
"LOC107379978"	437.345994783957	0.294213345853257	0.569408943470326	0.516699551749471	0.605365909029694	0.986484165926414
"ap3b1"	435.600359409281	-0.179435543490015	0.388078265121426	-0.462369474450912	0.64381638588382	0.988376493289451
"LOC107390583"	1282.36559449613	0.0562758816106642	0.658063522314345	0.0855174002241417	0.931850062765645	0.996677314265406
"LOC107377840"	789.112573165321	0.609028277727555	0.523536425383854	1.16329685614715	0.244709080790448	0.974563416564757
"LOC107388775"	234.062612156779	-0.555086297973548	0.661445375527297	-0.839202024099177	0.401355951668045	0.978448555962173
"lypla1"	535.243232270931	0.146775374654306	0.296394730259233	0.495202375986691	0.620457273621392	0.98813661218972
"LOC107376879"	1.43402080530933	0.402169051710121	1.72175547373442	0.233580817860176	0.815310420966191	NA
"nfrkb"	182.998205172287	-0.0455729769382313	0.418888454646997	-0.108795017940125	0.91336507547117	0.996244270347371
"ccdc115"	334.074491235028	-0.464579618350005	0.466606444470313	-0.995656240619202	0.319417198620609	0.978448555962173
"LOC107373832"	16.2486069624434	0.635238610894525	0.916830969627307	0.69286338696952	0.488395288449687	0.982710775721754
"LOC107391641"	15716.5775669395	-0.029612260392572	0.384076308044761	-0.0770999402262555	0.938544040553059	0.996677314265406
"nelfcd"	765.716376322599	-0.238482113762424	0.367737698426999	-0.648511465597716	0.516654197496842	0.982710775721754
"rad52"	17.1460989410419	0.723395705234959	0.92342954590778	0.783379423412128	0.43340433569909	0.978448555962173
"LOC107382285"	20864.8899837099	-0.077864520275818	0.311249131986972	-0.250167831083549	0.802457561499537	0.991583667269708
"dmap1"	308.585786852206	-0.299567519148241	0.565553289987676	-0.529689287378683	0.596327376598203	0.984373393490184
"LOC107374174"	133.010096582802	-1.05020731889689	0.784835963829372	-1.33812333697441	0.18085623448282	0.962110504678251
"LOC107397157"	1322.2950236488	0.265401822060529	0.369364161779506	0.71853701447885	0.472426233686636	0.982710775721754
"LOC107382894"	63.075736458182	1.50232373900272	0.907715177454085	1.65506072424212	0.0979121808034213	0.934040360109859
"LOC107396341"	1.88459648466068	-1.93133197403731	1.56195745209414	-1.23648180777776	0.216279523871403	NA
"rnf141"	1017.74731202963	0.0639683621671088	0.273395442794914	0.233977426665061	0.815002503210938	0.991583667269708
"LOC107382360"	78.439157539258	0.454334722502598	0.591310785772364	0.768351826880937	0.442278191892573	0.978691434295004
"LOC107380615"	1.93821042489239	1.37581560209899	1.60036251197931	0.859689971366173	0.389959964383103	NA
"zbtb40"	317.827409225125	-0.376750823259778	0.461253021122317	-0.816798602951306	0.414043530742821	0.978448555962173
"LOC107377153"	165.235947847926	0.854072604721208	1.52776360793942	0.559034526207327	0.576138157195129	0.982710775721754
"LOC107389301"	606.900663985109	-0.113090820411052	0.530081633214772	-0.213346045825419	0.831057060803062	0.992225018115704
"sema4b"	33.3622984797869	0.497872752123243	0.663324235433856	0.750572232292407	0.452910137591241	0.981284291901611
"pemt"	526.493226285306	-0.282189550332397	0.338220620064689	-0.834335737065424	0.404091818981419	0.978448555962173
"dstyk"	95.9507052297875	0.155882037571928	0.804692746261494	0.193716220627236	0.84639809020543	0.992225018115704
"LOC107390588"	1391.49785591837	-0.287266265114011	0.513337512926939	-0.559605051023996	0.575748858854062	0.982710775721754
"LOC107393772"	122.756836247459	1.99982195436007	0.503738022675316	3.96996427575421	7.18834088080563e-05	0.0849757736656302
"LOC107383130"	7.00250404018452	0.731211943636918	0.952531137336528	0.767651486629126	0.442694265280316	0.978730797639796
"cct5"	5169.12455990987	-0.35862312788227	0.476855386373883	-0.752058460761702	0.452015902958373	0.981284291901611
"blnk"	101.354018965042	0.0340284600323815	0.998698599058653	0.0340728024095116	0.972819096420797	0.997601674100065
"LOC107377469"	7679.17534431024	-0.547022130633364	0.410572097078019	-1.33234122466295	0.182748086369832	0.962110504678251
"xirp2"	3.22215480147416	1.90601095882487	1.53937952113671	1.23816832214153	0.215653654784129	0.972622169361906
"LOC107388332"	2.11509944746187	1.94459411884884	1.60500066728477	1.21158461705724	0.225671425955371	NA
"LOC107395573"	1.83153001050959	1.26322748491278	1.55906129517884	0.810248762392553	0.417797216999356	NA
"LOC107376310"	1.49258789581689	0.675118209582037	1.6973570553335	0.397746724804104	0.690816891463531	NA
"LOC107380806"	259.950600189259	-0.143499183066594	2.14332264723285	-0.0669517411444609	0.946620121932161	0.997125313484735
"LOC107375877"	3.24698099865732	1.49476173962834	1.40775705900682	1.06180376085835	0.288324782123072	0.978448555962173
"rpgrip1l"	66.0287634594473	-0.439766862276454	0.527511269388977	-0.833663445305808	0.404470662558674	0.978448555962173
"maea"	561.685819873052	-0.250753059559983	0.304359793206802	-0.823870514952034	0.41001313547114	0.978448555962173
"slc33a1"	1563.50354491005	-0.770277719084063	0.523458741282396	-1.47151562928722	0.141151723918149	0.943083740155295
"bola1"	438.173822621768	-0.213220719565619	0.364879239844561	-0.584359690226418	0.558978340822697	0.982710775721754
"LOC107373939"	21.4898251950482	-0.801217601304961	0.717399302849844	-1.11683632549147	0.264064313993664	0.978448555962173
"farsa"	1022.11944420292	-0.146183967466651	0.340027758351658	-0.429917746054917	0.667255476006019	0.988376493289451
"LOC107395396"	4.6718322636725	-0.955080512572271	1.34346621900578	-0.710907724407889	0.477141419031011	0.982710775721754
"pm20d1"	427.331891051743	0.254991798680429	0.408759845215021	0.623818121240102	0.532747037436581	0.982710775721754
"LOC107374419"	187.991789583114	-0.222623912403742	0.39959628872193	-0.557122072168847	0.577444028001316	0.982710775721754
"efhb"	8.50924379648253	-0.0196536837182798	1.33383875387529	-0.0147346773822388	0.988243853807396	0.998890830140936
