Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
wnk2,1.575676038,1.114783602,1.141171981,0.976876071,0.328630509,NA
hgh1,1472.922667,0.691542075,0.219694185,3.147748659,0.001645331,0.082146525
eefsec,369.0021316,-0.143176362,0.268288644,-0.533665384,0.593573062,0.880884404
csgr17h19orf70,1225.113516,0.193093238,0.210548894,0.917094528,0.359093108,0.75105112
mcts1,579.5609678,0.124215609,0.220491723,0.563357241,0.573191647,0.872832669
LOC107373159,54.26598073,0.077251242,0.385692912,0.200292097,0.841252143,0.963242214
LOC107377220,140.0051879,0.46454737,0.352482859,1.317928967,0.187527428,0.609601082
LOC107397030,1.201594783,0.479611262,1.23007604,0.389903751,0.69660772,NA
LOC107373909,4.021841718,-0.435574841,0.917272841,-0.474858538,0.634887806,NA
LOC107393387,3.694368424,-0.136130818,1.03760004,-0.131197776,0.895618855,NA
LOC107376456,1.186078554,-0.146603795,1.305802235,-0.112271055,0.910608491,NA
nkiras2,173.288595,0.190691959,0.275203255,0.692913167,0.488364046,0.831626355
fto,14.45697004,0.417999333,0.547328408,0.763708456,0.445041001,0.805964779
rnf2,3239.878282,-1.39670022,0.513424809,-2.720359817,0.006521091,0.161561763
abcc4,124.157473,1.204441933,0.608799014,1.978390087,0.047884717,0.367034235
man2c1,242.0382988,-0.093920894,0.381656283,-0.24608764,0.805614391,0.954864418
pbx3,44.19217991,-1.182251978,0.461988466,-2.559050854,0.010495839,0.194587636
eaf2,1170.400228,-0.273947456,0.236483025,-1.158423342,0.246691318,0.66516088
LOC107386224,11.20289222,0.480997553,0.849048342,0.566513741,0.571044595,0.872065514
LOC107378563,788.7835635,-0.76971848,0.351276313,-2.19120519,0.028436947,0.298602861
clcc1,616.7062857,-0.13859836,0.204674133,-0.677165983,0.498300648,0.837363121
id1,1675.053966,0.269571683,0.37474212,0.719352506,0.471923752,0.82352274
dnajb5,7.943849224,0.392134554,0.894531033,0.438368865,0.661118912,0.906032917
LOC107378886,1.178846395,0.442986555,1.229704056,0.360238345,0.718668901,NA
shank3,57.31057597,-0.545872619,0.544845202,-1.001885705,0.316398798,0.721928969
mlc1,2.746688054,-0.532385824,1.072198557,-0.496536599,0.619515872,NA
mgat1,7603.8755,-0.096487101,0.405378495,-0.238017316,0.811867663,0.956193968
LOC107379337,5.279433804,1.288605008,1.110439086,1.160446372,0.245867116,NA
LOC107394980,1.176546649,-0.709983959,1.228388215,-0.577980113,0.563277546,NA
