Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
tnfrsf11a,2.34679854,-2.271059836,1.125869399,-2.017160994,0.043678715,NA
LOC107376507,758.2395828,0.120986968,0.248611503,0.486650724,0.626505871,0.894638566
slc25a14,21.95739361,-0.213111469,0.628998511,-0.338810769,0.734752288,0.931681034
cfap52,4.035754217,0.268057839,0.863688051,0.310364186,0.756284026,0.938458694
stac3,2.367635705,-1.122001688,1.055704611,-1.062798889,0.287873163,NA
LOC107391997,66.56924598,-0.017573685,0.428141023,-0.041046487,0.967258836,0.992272704
zfyve27,869.6740965,-0.152893379,0.200908016,-0.761011842,0.446649994,0.817346713
caln1,17.66014152,0.701646284,0.66685522,1.052171839,0.292720717,0.705321109
LOC107386980,1.89088503,0.537534406,1.054690456,0.509660823,0.610289104,NA
top1,303.2445715,0.131320081,0.283761656,0.462783037,0.643519891,0.899182657
blm,152.6784393,0.54728517,0.457173861,1.197105121,0.231265584,0.643363875
usf3,27.76924129,-0.480245806,0.516106049,-0.930517684,0.352103112,0.755058136
LOC107396419,173.0254653,-0.371080443,0.375353812,-0.988615093,0.322851499,0.732937272
LOC107393697,7.011756178,-1.350360665,1.047770504,-1.288794311,0.197469605,0.604650497
LOC107388425,182.6455925,0.39426778,0.602989472,0.653855164,0.513205122,0.849370285
LOC107397091,132.487501,-0.597119737,0.547010675,-1.091605272,0.275006638,0.690221897
pip5kl1,1.388246991,0.730460051,1.17328543,0.622576597,0.533562794,NA
LOC107393457,6.654321377,0.494410515,0.710050843,0.696302976,0.48623911,0.8360731
ptx3,114.0475899,-2.856407263,1.059252965,-2.696624281,0.007004625,0.088781999
LOC107397256,103.242973,-1.015192584,0.727871771,-1.394740975,0.163093964,0.556508365
ttll6,1.354806998,-0.279932235,1.30972189,-0.213734104,0.830754414,NA
LOC107390058,1.163893041,-0.279511208,1.301345319,-0.214786347,0.829933898,NA
gucy1a2,24.29555725,-2.133778587,0.939139732,-2.272056559,0.023083094,0.193618463
LOC107391206,697.9587492,-1.376914638,0.606359972,-2.270787488,0.023159846,0.193986955
LOC107386128,924.6409205,0.174243485,0.610160089,0.285570112,0.775207398,0.944794635
LOC107390618,1.104403036,-0.27936158,1.298399949,-0.215158342,0.829643869,NA
LOC107380057,1.557070343,1.339129116,1.210975555,1.105826711,0.268801531,NA
LOC107373719,59.18682531,-0.218404367,0.372521511,-0.586286592,0.55768294,0.87153354
LOC107374900,802.9663217,-0.527839276,0.298984154,-1.765442313,0.077489457,0.385967151
LOC107377292,52.07021195,0.318162639,0.428451279,0.742587675,0.457731353,0.82339996
syngr3,45.3789625,-0.187432233,0.908613947,-0.206283685,0.836569322,0.962679721
LOC107382367,329.6963702,-0.196177121,0.321260993,-0.610647185,0.541433178,0.861553387
tmub2,755.352382,0.346179117,0.225913627,1.53235164,0.125435684,0.491650048
LOC107381691,24.59981448,-0.442705191,0.628363605,-0.704536653,0.481098633,0.833270662
LOC107392571,153.7615987,0.1889404,0.285998735,0.660633691,0.508847257,0.848297871
vps36,601.6565263,0.137510801,0.177185912,0.776082025,0.437700556,0.812485947
fam114a2,1013.602654,-0.418461153,0.307310942,-1.361686473,0.173296852,0.570322899
ncan,1.465546675,-1.439724725,1.213116549,-1.186798355,0.235307168,NA
LOC107394055,9.801745418,-1.699568873,0.792085195,-2.145689485,0.031897761,0.233530591
nav2,353.9106378,0.787423807,0.451846175,1.74268114,0.081389328,0.397136918
LOC107379506,26.61275878,0.019260324,0.505342437,0.038113411,0.969597259,0.992508378
LOC107381696,115.5309384,-1.541157811,0.680569576,-2.264511765,0.023542657,0.19562249
LOC107395818,1.860229561,-0.24838366,1.137982553,-0.218266668,0.827221343,NA
LOC107395134,252.8069542,0.227652877,0.465649765,0.488892928,0.624917503,0.89429959
rhot2,65.48933578,0.258023254,0.277810962,0.928772763,0.353006863,0.755889106
LOC107382723,1.696204748,-1.555932453,1.194336613,-1.302758733,0.192657143,NA
LOC107393310,1266.615652,0.439968026,0.244221483,1.801512385,0.071622157,0.370479606
LOC107388367,1842.774799,-6.039974921,0.710815075,-8.497252151,1.94E-17,5.94E-15
LOC107374384,1.251509009,-0.279379868,1.298749983,-0.215114435,0.8296781,NA
gngt2,1.186078554,-0.279735786,1.305802266,-0.214225226,0.830371425,NA
atxn2,192.429444,0.301711077,0.280006154,1.077515879,0.281249861,0.695206119
phgdh,51.93916401,0.288372918,0.413320037,0.697698857,0.485365543,0.835339397
chst8,1.139899192,-0.27922733,1.295763046,-0.215492587,0.829383291,NA
LOC107387835,1.314117882,0.317991928,1.234810166,0.257522927,0.796775119,NA
cyr61,55.37601322,-0.585346195,0.466225112,-1.255501217,0.209296866,0.619238024
col9a3,50.42329972,0.296949254,0.438511029,0.677176251,0.498294134,0.843106068
LOC107374166,11.85321182,0.632143942,0.568669373,1.111619463,0.266301801,0.680903177
