category,precision,upper,lower
Multiple People,0.015626364986459335,0.019297861475944148,0.012047413800328545
Automatic Feeder,0.512743628185907,0.5980870483654996,0.398287168040533
Single Person,0.08247422680412371,0.12006531596889247,0.04388379194026657
Single Automatic Feeder,0.5590062111801242,0.7546951487502627,0.3242843793703864
