category,std_est,std_error,count,precision,conf,precision_conf
Multiple People,7.999650586359598,0.9311810299682286,54,0.015626364986459335,"(7.999650586359598, 7.198556334231771, 9.110728109021629)","(0.015626364986459335, 0.019297861475944148, 0.012047413800328545)"
Automatic Feeder,1.3965286956095169,0.14993489798769216,19,0.512743628185907,"(1.3965286956095169, 1.2930573912190337, 1.5845350224606092)","(0.512743628185907, 0.5980870483654996, 0.398287168040533)"
Single Person,3.48209706929603,0.8455321086018474,9,0.08247422680412371,"(3.48209706929603, 2.8859660375113414, 4.7736209005762404)","(0.08247422680412371, 0.12006531596889247, 0.04388379194026657)"
Single Automatic Feeder,1.3374935098492586,0.3047991260260162,10,0.5590062111801242,"(1.3374935098492586, 1.1511030929435224, 1.7560504362258356)","(0.5590062111801242, 0.7546951487502627, 0.3242843793703864)"
