"","fishnum","avg.velocity"
"1","1",6.60205047603549
"2","2",6.54887911065958
"3","3",6.77531694347563
"4","4",7.11272974693906
"5","5",6.98170662391979
"6","9",6.81768425001954
"7","13",7.17612448715507
"8","14",6.18189239354463
"9","15",7.46820966464144
"10","16",6.32666051298138
"11","19",6.70269696021705
"12","20",6.06125286145743
"13","26",6.5326879583642
