Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mis18a,23.66721845,-1.822637673,0.855479041,-2.130546261,0.033126541,0.542317006
LOC107394634,1166.434714,-0.253616006,0.24957163,-1.016205271,0.309531647,0.923242196
LOC107380370,36.22259934,0.132276844,0.558876467,0.23668351,0.812902329,0.992019213
LOC107374830,2.327046269,-2.267019327,1.194007885,-1.898663615,0.057608718,NA
LOC107382350,47.2469241,0.431987206,0.729413193,0.592239365,0.553690313,0.967040972
LOC107396318,14.97588529,-0.349201802,0.903955048,-0.386304389,0.699271251,0.981697321
LOC107373122,369.3017374,-0.369638879,0.218585343,-1.691050614,0.090827136,0.727206338
setd6,295.4819782,0.269878264,0.374944287,0.719782306,0.471659041,0.960609333
LOC107374467,254.3491549,-0.62843764,0.432969269,-1.451460149,0.146651771,0.810355004
mis18bp1,17.91690987,0.087321786,0.881850814,0.099021041,0.921121564,0.999054741
dapl1,1478.66278,-0.826983262,0.418851463,-1.974407004,0.048335482,0.619280905
fam171a1,205.2814506,0.325532874,0.264383655,1.231289707,0.21821453,0.876421941
LOC107376589,66.33224679,-0.0287007,0.415417683,-0.069088778,0.944918953,0.999054741
fam45a,179.5816392,-0.255133441,0.32874593,-0.776080911,0.437701214,0.957684192
rrp1b,659.6848396,0.445978448,0.481876581,0.925503471,0.354704079,0.940136495
trpt1,205.2640855,-0.647423969,0.330838563,-1.956918091,0.050357099,0.623173141
LOC107397004,1.159936942,-0.677954505,1.230329704,-0.551034819,0.581609806,NA
LOC107373117,1.440819086,-0.702728731,1.240801204,-0.566350782,0.571155346,NA
LOC107375214,1.638805559,-0.688733936,1.217690709,-0.565606628,0.571661221,NA
slc12a8,71.71693942,-0.312080625,0.406289933,-0.768122959,0.442414138,0.957684192
rnf216,130.4545723,0.064389939,0.299324529,0.215117483,0.829675723,0.995269902
LOC107381314,4.526074775,-1.448720164,0.795173712,-1.821891421,0.068471462,0.678707511
best2,1.111516999,-0.105359017,1.295064333,-0.081354273,0.935160214,NA
pelo,4974.358402,-0.277214772,0.249048788,-1.113094242,0.265667956,0.895423722
LOC107388208,8.070671158,0.473215403,0.831500451,0.569110218,0.569281345,0.96790665
borcs6,292.0251302,0.085381676,0.228758258,0.373239754,0.708970011,0.981697321
LOC107373847,296.0339309,-0.243991087,0.222324185,-1.097456345,0.272441954,0.901843329
prr7,1.305058563,0.953949976,1.184201065,0.805564194,0.420494179,NA
LOC107383494,130.6731761,-0.250649811,0.496259837,-0.505077768,0.613504216,0.974131991
zc3h18,246.2170936,-0.044073352,0.255182192,-0.172713276,0.862876808,0.99795455
chtf8,180.8804103,-0.358535158,0.564185763,-0.635491324,0.525108023,0.963051255
plppr5,2.031202506,-0.543541931,1.055213992,-0.51510114,0.606482346,NA
myo1d,17.10047502,-0.916855637,0.589727112,-1.554711692,0.120014749,0.777572212
heg1,156.1002463,-0.110768995,0.26179442,-0.423114422,0.672211781,0.981697321
dnajc13,303.4199167,0.181673003,0.299805436,0.605969675,0.54453489,0.96547272
LOC107388958,220.3746258,-0.201155353,0.363260508,-0.553749579,0.579750239,0.968452343
sftpb,2146.143949,-1.928731846,0.752550681,-2.562926186,0.010379411,0.364450932
LOC107393833,4.956082406,-1.00796663,0.651364442,-1.547469535,0.121750065,0.778533053
plxnc1,53.00670365,-1.365176143,1.201659608,-1.136075585,0.255924932,0.890164946
cdca8,101.434204,-0.410150501,0.589791926,-0.695415592,0.486794892,0.962719221
LOC107377448,5.618035142,0.659770877,0.8143624,0.810168639,0.417843259,0.952443862
ikzf4,87.06603592,0.198225416,0.31498049,0.629326011,0.529135646,0.963051255
LOC107380237,1.276250348,-0.702784659,1.220258479,-0.575930978,0.564661836,NA
nr2f1,322.161585,0.367164674,0.288066284,1.274583992,0.202456527,0.860488765
LOC107383803,15.06898547,-0.743822085,1.105577688,-0.672790427,0.501080629,0.963051255
chrna1,22.21842025,-0.628268272,0.476090257,-1.319641101,0.186954873,0.850685401
tsku,19247.16526,-0.034084578,0.225818393,-0.150938007,0.880024618,0.99821504
LOC107384230,4.647808469,-1.810226592,1.049180044,-1.725372688,0.08446033,0.711135125
LOC107394910,229.5766527,0.046226318,0.374055566,0.123581419,0.901646705,0.999054741
LOC107390154,6317.296039,0.028053466,0.378339667,0.074148889,0.940891915,0.999054741
LOC107383764,4741.731132,-0.339187352,0.269250158,-1.259748015,0.207760278,0.864789966
LOC107391096,28.94534227,-1.262241064,0.446226549,-2.828700054,0.004673748,0.251899391
jam3,38.76622783,0.700662265,0.608552449,1.151358878,0.249584624,0.887144874
LOC107376900,2.435304918,0.927312369,1.219941595,0.760128495,0.447177781,NA
shf,189.2024385,-0.804673694,0.364089081,-2.210101142,0.027098144,0.516222448
LOC107388857,85.23415101,0.231039185,0.417603006,0.553250772,0.580091705,0.968452343
LOC107389969,1.557612463,-0.679425582,1.202842346,-0.564850069,0.572175748,NA
LOC107392810,545.8508405,0.264791102,0.235891962,1.122510063,0.261645631,0.893689535
LOC107385351,49.82481147,0.091187641,0.559124586,0.163090022,0.870447556,0.99821504
pcdh17,42.04582237,-0.101865778,0.579547249,-0.175767858,0.860476322,0.997904915
LOC107392189,1.416064198,-1.101746989,1.201123442,-0.917263747,0.35900445,NA
tnip2,417.7679512,0.959204792,1.263607385,0.759100337,0.447792538,0.957684192
chfr,1276.002328,0.411082996,0.39616802,1.037648106,0.299433913,0.914973159
kcnj10,29.63460738,0.051208936,0.448793938,0.114103448,0.909155789,0.999054741
LOC107379852,3.611077189,-0.2716315,0.809455421,-0.335573143,0.737192779,0.982702027
cept1,617.2158283,-0.124351624,0.29371943,-0.423368735,0.672026252,0.981697321
LOC107386695,4.227519399,1.152706195,0.950385781,1.212882408,0.225174782,0.876421941
LOC107388619,6.818916301,-1.156921773,0.849468869,-1.361935457,0.173218255,0.844284249
