Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mis18a,23.66721845,-1.225923905,0.861052052,-1.423751216,0.154518502,0.429193376
LOC107394634,1166.434714,0.631205618,0.250282072,2.521976962,0.011669735,0.081647086
LOC107380370,36.22259934,1.062585772,0.571485936,1.859338445,0.062979181,0.250455618
LOC107374830,2.327046269,-1.618759682,1.228998595,-1.317137131,0.187792663,NA
LOC107382350,47.2469241,-0.44818717,0.725608858,-0.617670478,0.536792576,0.792969196
LOC107396318,14.97588529,-0.864941436,0.899448028,-0.961635813,0.336232575,0.643992565
LOC107373122,369.3017374,-1.108170619,0.217300081,-5.099724836,3.40E-07,1.68E-05
setd6,295.4819782,-0.865445097,0.373322366,-2.318224609,0.020437117,0.120214445
LOC107374467,254.3491549,0.490400074,0.435234125,1.126750054,0.259848173,0.565143505
mis18bp1,17.91690987,-0.04581348,0.882059413,-0.051939222,0.958577122,0.984932334
dapl1,1478.66278,-0.12888278,0.41911288,-0.30751329,0.758452709,0.908498999
fam171a1,205.2814506,0.254638143,0.264673504,0.962083998,0.336007412,0.643825042
LOC107376589,66.33224679,0.411277319,0.419519551,0.980353162,0.326911822,0.634681889
fam45a,179.5816392,-0.299879983,0.329057487,-0.911330069,0.362121488,0.665898941
rrp1b,659.6848396,-0.462302971,0.481421126,-0.960288086,0.336910244,0.644520861
trpt1,205.2640855,-0.902992587,0.330596333,-2.731405336,0.006306486,0.052467419
LOC107397004,1.159936942,-0.238148655,1.297744257,-0.183509696,0.854398111,NA
LOC107373117,1.440819086,-1.245082025,1.206548655,-1.031936855,0.302101699,NA
LOC107375214,1.638805559,-0.238100962,1.28675022,-0.185040545,0.853197234,NA
slc12a8,71.71693942,-0.334783131,0.407015577,-0.822531496,0.410774469,0.708204963
rnf216,130.4545723,-0.296628144,0.298366267,-0.994174534,0.320137904,0.628514933
LOC107381314,4.526074775,0.545074422,0.91577276,0.59520707,0.551705065,0.801125312
best2,1.111516999,-0.238137254,1.295064302,-0.183880641,0.854107092,NA
pelo,4974.358402,-0.688054832,0.249012674,-2.763131771,0.005724965,0.048691228
LOC107388208,8.070671158,2.136710296,0.905389548,2.359990018,0.018275427,0.111169905
borcs6,292.0251302,0.056479782,0.229094062,0.246535339,0.805267852,0.927760882
LOC107373847,296.0339309,0.213054352,0.22400427,0.95111737,0.341544798,0.649291232
prr7,1.305058563,0.821239302,1.184201031,0.693496527,0.487998004,NA
LOC107383494,130.6731761,0.814333935,0.500304439,1.627676812,0.103593432,0.339095407
zc3h18,246.2170936,-0.287672858,0.254932282,-1.128428523,0.259138988,0.56510226
chtf8,180.8804103,-1.073653788,0.563336163,-1.905884726,0.056665163,0.235069866
plppr5,2.031202506,-1.482526998,1.001057901,-1.480960288,0.138617156,NA
