"","recording_num","t1","fishnum"
"1",1,NA,"t16"
"2",2,NA,"t16"
"3",3,5.3,"t16"
"4",4,13.15,"t16"
"5",5,11,"t16"
"6",6,11,"t16"
"7",7,NA,"t16"
"8",8,NA,"t16"
"9",9,4,"t16"
"10",10,2.8,"t16"
"11",11,NA,"t16"
"12",12,10.85,"t16"
"13",13,4.8,"t16"
"14",14,10.85,"t16"
"15",15,NA,"t16"
"16",16,NA,"t16"
"17",17,6,"t16"
