"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"LOC107375582"	1.28106471450573	-0.146274972643939	1.28727886699502	-0.113631145817998	0.909530196461218	NA
"LOC107388276"	1.84096067711674	-0.14583137864956	1.26249377822771	-0.115510572142603	0.908040441210748	NA
"LOC107382448"	1.11151699933865	-0.458343747195072	1.25572932606049	-0.365002025263678	0.71510989445409	NA
"LOC107377727"	40.269261781289	-1.02623893977219	0.784728958962913	-1.30776228919659	0.190953948650586	0.613314134718202
"pex1"	301.760933171733	0.298592833807766	0.281723986279087	1.05987721440221	0.289200462952601	0.700416774961081
"LOC107393665"	19.5067618410344	1.94686722618682	0.618456858609496	3.14794346458385	0.00164423490708455	0.0821465253032295
"LOC107377394"	3.08314326606447	-1.13388824661401	1.17087912720414	-0.968407600980588	0.332840844861751	NA
"zbtb41"	106.197090755147	0.987136864202873	0.357994987206326	2.75740415223733	0.00582622911877538	0.152661244565911
"LOC107377691"	310.380720779879	-0.344165620271297	0.281057703423265	-1.22453722520102	0.220749632470579	0.642799762978503
"tuba4a"	1455.70878048065	0.600392607164848	0.42906814451939	1.39929429586846	0.161724749460414	0.582180743948446
"nup107"	698.922755648052	0.653746902479211	0.292686212000484	2.23361017934842	0.0255087335610755	0.285997993047722
"pcif1"	180.141600865002	-0.126944665486029	0.428407235944067	-0.29631774357472	0.766987436681619	0.941776781779404
"LOC107380988"	12905.5834663712	-0.315589638267121	0.25734134474036	-1.22634642554437	0.220068337667725	0.642383674174984
"LOC107373113"	43.3935544545447	-0.363486472000301	0.463901148316973	-0.78354294512748	0.433308345246875	0.799088907611122
"LOC107395481"	10.2794293078893	0.238245151385464	0.605231231427788	0.393643187948886	0.693844490946843	0.918009634175823
"cnksr1"	649.602120785269	-0.186162445629074	0.297870709545069	-0.624977346424548	0.531985926241178	0.85428055738396
"LOC107376497"	335.239254805212	-0.324457775527831	0.283203008808363	-1.14567206363046	0.251930867200692	0.668031224173357
"LOC107391344"	204.104029038078	0.460584655545072	0.384826483615451	1.19686319719441	0.231359880883526	0.652240493172162
"mmp23b"	5.21951541586326	-0.312136285607485	1.09430419946211	-0.285237218097957	0.77546240824893	NA
"LOC107394246"	785.570332400872	-0.0412604065226979	0.233424579172049	-0.176761190569766	0.859695974403245	0.967283264843162
"LOC107373117"	1.44081908562876	0.860205005951758	1.20654595202943	0.712948399938584	0.47587768775571	NA
"sox4"	89.6591646818725	-1.63808783628564	0.406896612021668	-4.02580849259667	5.67798866672073e-05	0.0107203036597189
"LOC107384880"	14.4237094316018	-0.564188454636248	0.804373825303037	-0.701400812518604	0.483052915064014	0.829029564267388
