bodyparts_coords,fishhead_x,fishhead_y,fishhead_likelihood,fishtail_x,fishtail_y,fishtail_likelihood,redlight_x,redlight_y,redlight_likelihood,fooddrop_x,fooddrop_y,fooddrop_likelihood,fishnum,recordingnum
0,626.5548095703125,481.010986328125,5.647540092468262e-5,644.083251953125,479.99554443359375,0.0019874870777130127,645.4990844726562,481.1759033203125,0.011839300394058228,3.4156064987182617,475.6808166503906,1.7702579498291016e-5,1,026
1,626.7416381835938,481.142333984375,5.558133125305176e-5,644.1778564453125,480.15631103515625,0.0016782581806182861,646.4469604492188,464.77197265625,0.010957181453704834,3.462658643722534,475.5985107421875,1.946091651916504e-5,1,026
2,69.89369201660156,345.24029541015625,0.32661545276641846,643.96923828125,479.9438171386719,0.0025676190853118896,645.4019165039062,480.9164733886719,0.014023452997207642,613.7515869140625,484.4678955078125,2.664327621459961e-5,1,026
3,73.41685485839844,342.1119384765625,0.7840937376022339,644.1760864257812,479.7633972167969,0.0019295215606689453,645.7454223632812,480.73321533203125,0.013521194458007812,69.37335205078125,335.83062744140625,3.534555435180664e-5,1,026
4,91.77394104003906,353.8765563964844,1.0,644.0807495117188,479.8804931640625,0.0017628073692321777,645.4778442382812,480.9422302246094,0.011461436748504639,71.623779296875,354.09185791015625,0.000244826078414917,1,026
5,93.80626678466797,355.41387939453125,1.0,644.2100830078125,479.8289794921875,0.0015808045864105225,645.71142578125,480.9261779785156,0.011502563953399658,74.20344543457031,356.3046569824219,0.0002688765525817871,1,026
6,87.50352478027344,343.5340881347656,0.9086703062057495,644.0267944335938,479.8490295410156,0.0024388134479522705,645.4859008789062,480.7606201171875,0.014805316925048828,613.8175048828125,484.4449462890625,2.5600194931030273e-5,1,026
7,81.84227752685547,346.85455322265625,0.9942408800125122,84.89105224609375,344.45037841796875,0.02220436930656433,530.1695556640625,207.00350952148438,1.0,526.4476928710938,207.15098571777344,0.0002818107604980469,1,026
8,86.3606185913086,336.20025634765625,0.42881494760513306,85.7978515625,337.0239562988281,0.2012091875076294,529.5765991210938,206.68150329589844,1.0,525.5650634765625,206.6853485107422,0.0002327561378479004,1,026
9,84.00263977050781,335.635498046875,0.6314653754234314,85.03038787841797,334.39434814453125,0.9193470478057861,530.337890625,206.84426879882812,1.0,526.05078125,206.8089599609375,0.00016394257545471191,1,026
10,87.29106903076172,334.71185302734375,0.9963595867156982,87.03767395019531,334.8902893066406,0.30877459049224854,529.7985229492188,206.6416015625,1.0,87.32129669189453,327.01007080078125,0.0003370940685272217,1,026
11,84.2165756225586,333.294921875,0.9992457628250122,84.6591796875,333.09381103515625,0.9810752868652344,529.7661743164062,206.1463623046875,1.0,525.7689819335938,205.62069702148438,0.00036969780921936035,1,026
12,99.07341766357422,337.2026672363281,0.9793715476989746,107.6136474609375,335.77001953125,0.0019884109497070312,529.3396606445312,206.12939453125,1.0,525.3004760742188,203.189453125,0.0002881288528442383,1,026
13,99.5406265258789,341.8082580566406,0.9999998807907104,125.63988494873047,324.59307861328125,0.07993218302726746,529.7781372070312,207.19044494628906,1.0,525.6449584960938,206.5858154296875,0.00024208426475524902,1,026
14,128.05677795410156,327.29833984375,0.9999154806137085,131.56712341308594,324.6269836425781,0.005929678678512573,529.6722412109375,206.428955078125,1.0,525.3805541992188,206.2852783203125,0.00028708577156066895,1,026
15,145.08155822753906,317.15350341796875,1.0,104.68438720703125,357.6231689453125,0.9962912797927856,529.5152587890625,206.91647338867188,1.0,146.7388916015625,309.53448486328125,0.00030496716499328613,1,026
16,159.7104949951172,314.759765625,0.999016523361206,162.09954833984375,312.37493896484375,0.999988317489624,529.8720703125,206.75830078125,1.0,159.17840576171875,317.3727722167969,0.00022304058074951172,1,026
17,172.90965270996094,311.0333557128906,1.0,118.49638366699219,355.8763732910156,0.30907687544822693,529.7880859375,206.28323364257812,1.0,525.4215698242188,206.14324951171875,0.00019085407257080078,1,026
18,194.77171325683594,300.9322814941406,1.0,116.95616149902344,351.9188537597656,0.9987459778785706,529.162109375,205.96995544433594,1.0,528.22265625,207.03041076660156,0.0003300607204437256,1,026
