bodyparts_coords,fishhead_x,fishhead_y,fishhead_likelihood,fishtail_x,fishtail_y,fishtail_likelihood,redlight_x,redlight_y,redlight_likelihood,fooddrop_x,fooddrop_y,fooddrop_likelihood,fishnum,recordingnum
0,227.4666290283203,257.0834045410156,1.0,176.5663604736328,274.41302490234375,0.9975769519805908,226.30421447753906,259.0938720703125,0.00013330578804016113,216.58802795410156,262.69903564453125,5.08427619934082e-5,1,047
1,226.49612426757812,258.6822509765625,1.0,177.73355102539062,275.5616455078125,0.06655415892601013,225.856201171875,260.450439453125,0.00010982155799865723,215.45497131347656,263.326904296875,3.215670585632324e-5,1,047
2,227.15179443359375,258.01318359375,1.0,181.24696350097656,276.14898681640625,0.9610109329223633,226.1811981201172,259.6399841308594,0.0001431107521057129,216.4239501953125,262.7886047363281,3.966689109802246e-5,1,047
3,227.21958923339844,258.19549560546875,1.0,182.5661163330078,278.36492919921875,0.9966132640838623,226.47450256347656,259.2186279296875,0.00012478232383728027,216.43951416015625,262.4922790527344,3.299117088317871e-5,1,047
4,226.9635772705078,258.174560546875,1.0,182.97561645507812,278.77899169921875,0.9513062238693237,226.42660522460938,259.34039306640625,0.0001423656940460205,216.6671142578125,262.2086486816406,4.1961669921875e-5,1,047
5,226.56187438964844,257.2716064453125,1.0,179.9451904296875,276.6064147949219,0.8100823163986206,226.00283813476562,258.7794189453125,8.919835090637207e-5,216.74679565429688,261.8599548339844,3.421306610107422e-5,1,047
6,226.67974853515625,258.51446533203125,1.0,181.83453369140625,278.6222229003906,0.7098672389984131,226.23231506347656,259.8212585449219,0.00011327862739562988,216.38003540039062,262.8089599609375,4.342198371887207e-5,1,047
7,227.34288024902344,258.9347229003906,1.0,180.57720947265625,280.4258117675781,0.18452218174934387,226.37242126464844,260.71240234375,6.276369094848633e-5,215.62203979492188,263.2873840332031,3.11434268951416e-5,1,047
8,226.3124237060547,256.938720703125,1.0,182.33421325683594,278.77490234375,0.96107017993927,225.71307373046875,258.03411865234375,8.547306060791016e-5,216.5066680908203,261.98980712890625,3.516674041748047e-5,1,047
9,226.7957000732422,257.7113037109375,1.0,183.47023010253906,282.9307556152344,0.09610521793365479,226.2109375,258.6031799316406,7.906556129455566e-5,216.6422119140625,261.4431457519531,2.899765968322754e-5,1,047
10,227.05718994140625,258.1158752441406,1.0,182.2222900390625,280.7327880859375,0.9932587146759033,226.4046630859375,259.6494140625,7.697939872741699e-5,187.71664428710938,284.6386413574219,3.489851951599121e-5,1,047
11,227.4054718017578,257.6913146972656,1.0,180.64212036132812,281.3331298828125,0.9110215902328491,225.95947265625,258.63946533203125,0.00011426210403442383,216.7819366455078,261.4070739746094,4.556775093078613e-5,1,047
12,227.20033264160156,258.0248718261719,1.0,180.9354705810547,281.8238830566406,0.8383333683013916,226.09950256347656,259.5730285644531,9.682774543762207e-5,214.28018188476562,246.58116149902344,4.598498344421387e-5,1,047
13,227.24935913085938,258.8217468261719,1.0,179.64756774902344,283.0994873046875,0.07334214448928833,226.16946411132812,260.05224609375,0.00011342763900756836,216.26397705078125,262.8716125488281,3.4928321838378906e-5,1,047
14,226.9259796142578,257.5516357421875,1.0,181.46438598632812,283.9394836425781,0.9997173547744751,225.82223510742188,259.0242614746094,0.00012010335922241211,180.35516357421875,276.5604248046875,9.033083915710449e-5,1,047
15,226.76495361328125,257.7730712890625,1.0,183.81105041503906,284.6114807128906,0.9994627237319946,225.42529296875,258.6156921386719,7.572770118713379e-5,186.25189208984375,285.14019775390625,0.00022307038307189941,1,047
16,227.02296447753906,257.36309814453125,1.0,181.02064514160156,283.8865966796875,0.9991027116775513,225.8658447265625,259.0050964355469,7.826089859008789e-5,180.8211212158203,276.9302673339844,6.669759750366211e-5,1,047
17,227.25186157226562,256.4857482910156,1.0,180.3990478515625,283.8438415527344,0.6756321787834167,225.860107421875,258.782958984375,0.00010758638381958008,216.5089111328125,261.6330261230469,6.04093074798584e-5,1,047
18,227.052978515625,257.299072265625,1.0,181.66954040527344,285.466064453125,0.9839022755622864,225.9183349609375,259.06878662109375,0.00011238455772399902,216.50086975097656,262.39373779296875,5.030632019042969e-5,1,047
19,226.50244140625,256.23486328125,1.0,181.794677734375,284.4997863769531,0.6947171688079834,225.1665496826172,257.83245849609375,8.532404899597168e-5,214.28536987304688,245.2545166015625,5.8978796005249023e-5,1,047
20,226.10011291503906,257.2831115722656,1.0,182.42202758789062,285.1099548339844,0.16827523708343506,225.0354461669922,258.25543212890625,0.00010126829147338867,214.21995544433594,245.48146057128906,5.352497100830078e-5,1,047
21,226.60000610351562,258.262451171875,1.0,180.402099609375,283.67486572265625,0.011643588542938232,229.38185119628906,257.64312744140625,5.370378494262695e-5,228.93667602539062,262.5784912109375,2.8431415557861328e-5,1,047
22,226.60760498046875,257.3205871582031,1.0,182.41259765625,286.0887756347656,0.9128873944282532,225.475830078125,260.1219787597656,6.070733070373535e-5,215.1626739501953,262.7351989746094,2.512335777282715e-5,1,047
23,225.6946563720703,257.4158935546875,1.0,182.41354370117188,284.5722351074219,0.6419488787651062,225.01803588867188,259.0541076660156,4.366040229797363e-5,213.99575805664062,245.82025146484375,3.3915042877197266e-5,1,047
24,225.93902587890625,257.6422119140625,1.0,179.6592254638672,284.6988830566406,0.012333899736404419,224.83070373535156,259.1613464355469,4.655122756958008e-5,215.7417449951172,261.82330322265625,2.2709369659423828e-5,1,047
25,225.2542724609375,257.65411376953125,1.0,180.24429321289062,285.9441833496094,0.7155195474624634,530.829833984375,207.08306884765625,1.0,528.5032958984375,207.1382293701172,0.00031560659408569336,1,047
26,225.97488403320312,256.6512756347656,1.0,179.7616729736328,286.4460754394531,0.4491814970970154,530.5276489257812,206.2716064453125,1.0,526.162109375,206.3925018310547,0.0002733469009399414,1,047
27,226.104736328125,258.00341796875,1.0,176.04278564453125,283.84405517578125,0.06995552778244019,529.7337646484375,206.38243103027344,1.0,527.1312255859375,206.34286499023438,0.0003490149974822998,1,047
28,226.10804748535156,257.2979431152344,1.0,177.2035675048828,287.07073974609375,0.05768391489982605,530.994384765625,206.3729705810547,1.0,528.6679077148438,207.4312286376953,0.00022584199905395508,1,047
29,232.12991333007812,256.470703125,1.0,181.78077697753906,286.9217834472656,0.03993326425552368,530.656494140625,206.42784118652344,1.0,528.5987548828125,207.82742309570312,0.00029724836349487305,1,047
30,252.9654083251953,260.96539306640625,1.0,183.6630859375,290.13775634765625,0.9996452331542969,530.463134765625,206.46080017089844,1.0,528.592529296875,207.24668884277344,0.0005292594432830811,1,047
31,268.1118469238281,259.687744140625,1.0,186.93247985839844,280.55352783203125,0.9999970197677612,530.257080078125,206.66262817382812,1.0,528.516845703125,207.83160400390625,0.0003565549850463867,1,047
32,285.8241271972656,263.46978759765625,1.0,198.59666442871094,274.5251770019531,0.9999971985816956,529.8878173828125,206.4798583984375,1.0,525.7655639648438,206.23977661132812,0.00040841102600097656,1,047
