bodyparts_coords,fishhead_x,fishhead_y,fishhead_likelihood,fishtail_x,fishtail_y,fishtail_likelihood,redlight_x,redlight_y,redlight_likelihood,fooddrop_x,fooddrop_y,fooddrop_likelihood,fishnum,recordingnum
0,294.0255126953125,53.45345687866211,1.0,379.85052490234375,161.95281982421875,0.0007189512252807617,291.5616149902344,53.238651275634766,3.94284725189209e-5,279.2272033691406,57.580013275146484,3.0279159545898438e-5,1,029
1,293.0648498535156,53.991519927978516,1.0,376.5361633300781,161.94198608398438,0.999985933303833,375.8901672363281,166.13536071777344,4.360079765319824e-5,381.4652099609375,164.41766357421875,0.0018050074577331543,1,029
2,293.0592041015625,53.97556686401367,1.0,378.74591064453125,166.5778045654297,0.9999607801437378,376.9186706542969,169.35281372070312,0.0001048743724822998,381.6028137207031,168.19436645507812,0.002196192741394043,1,029
3,291.6691589355469,52.05463409423828,1.0,376.4889221191406,165.16346740722656,0.998799204826355,375.60736083984375,167.71214294433594,4.217028617858887e-5,380.6488952636719,166.8928985595703,0.0010212361812591553,1,029
4,291.9811706542969,53.54207992553711,1.0,373.81280517578125,160.5222930908203,0.0006149113178253174,648.2807006835938,139.06333923339844,6.008148193359375e-5,278.2520751953125,42.45486068725586,1.5497207641601562e-5,1,029
5,291.43115234375,53.316131591796875,1.0,375.6356506347656,163.7813720703125,0.9999991655349731,375.5906066894531,166.0477752685547,5.8531761169433594e-5,371.9994812011719,170.72447204589844,0.0012509524822235107,1,029
6,292.7225341796875,53.895713806152344,1.0,375.65216064453125,163.83969116210938,0.9943735003471375,374.5169677734375,168.232666015625,1.7195940017700195e-5,380.05316162109375,166.00611877441406,0.00014188885688781738,1,029
7,292.0901184082031,53.7728271484375,1.0,376.047119140625,162.41880798339844,0.999701738357544,375.6622009277344,166.0747528076172,5.081295967102051e-5,380.39373779296875,165.56771850585938,0.0038352012634277344,1,029
8,292.5711975097656,53.91867446899414,1.0,378.52130126953125,165.66883850097656,0.9999998807907104,378.42822265625,167.19947814941406,0.0002569854259490967,375.5819091796875,171.72976684570312,0.0022290945053100586,1,029
9,293.0712585449219,54.846134185791016,1.0,376.4917907714844,168.2409210205078,0.9999966621398926,377.50982666015625,169.0359344482422,0.0002269446849822998,371.7903747558594,174.59234619140625,0.0035030245780944824,1,029
10,292.72308349609375,54.0534553527832,1.0,375.3346252441406,166.0155792236328,0.9999747276306152,376.438232421875,167.76275634765625,3.3974647521972656e-5,375.2578125,174.78529357910156,0.011118322610855103,1,029
11,293.0085754394531,53.23877716064453,1.0,374.60589599609375,166.3081512451172,0.9996687173843384,376.0977783203125,168.70098876953125,4.988908767700195e-5,374.1142272949219,174.6500701904297,0.002043783664703369,1,029
12,292.733642578125,54.19559097290039,1.0,375.91192626953125,166.77854919433594,0.7715314626693726,290.3282470703125,54.204376220703125,2.4110078811645508e-5,374.21160888671875,177.88978576660156,0.0013609528541564941,1,029
13,292.0047607421875,53.33083724975586,1.0,375.4662170410156,162.51119995117188,0.999502420425415,290.3276672363281,53.55963897705078,1.65402889251709e-5,381.1190490722656,165.4822998046875,0.0013626813888549805,1,029
14,292.6011962890625,52.43488311767578,1.0,375.13275146484375,168.27220153808594,0.9999985694885254,376.16546630859375,169.1986083984375,5.894899368286133e-5,370.3911437988281,174.91259765625,0.009084880352020264,1,029
15,292.2712707519531,54.52330017089844,1.0,377.1324462890625,166.65835571289062,0.7897224426269531,290.0254821777344,54.67033386230469,1.6123056411743164e-5,374.8164367675781,176.7250213623047,0.0007835924625396729,1,029
16,292.7734375,54.28943634033203,1.0,376.4504699707031,167.76535034179688,1.0,376.6455383300781,169.24253845214844,5.835294723510742e-5,375.1485290527344,172.52890014648438,0.020799756050109863,1,029
17,292.40863037109375,54.500755310058594,1.0,376.1593933105469,163.6822509765625,0.9997038245201111,290.20159912109375,54.64628601074219,2.333521842956543e-5,372.1999816894531,172.2454071044922,0.0012979507446289062,1,029
18,293.0745544433594,55.02545928955078,1.0,375.6205139160156,166.45921325683594,0.9999977350234985,376.585205078125,168.25442504882812,6.16610050201416e-5,371.61834716796875,173.50112915039062,0.008216410875320435,1,029
19,293.3904724121094,58.471153259277344,1.0,371.7708740234375,164.23570251464844,0.999893069267273,291.7979736328125,60.9859619140625,2.256035804748535e-5,371.4091491699219,165.66015625,0.0009566545486450195,1,029
20,291.5495910644531,66.31375122070312,1.0,363.7428894042969,152.50076293945312,0.04181036353111267,650.2542724609375,220.39273071289062,1.4007091522216797e-5,276.52435302734375,55.11925506591797,6.884336471557617e-6,1,029
21,280.47760009765625,69.49903106689453,1.0,363.7823486328125,148.3734588623047,0.9999998807907104,358.79608154296875,152.36019897460938,3.3408403396606445e-5,358.1888122558594,153.18154907226562,0.0003496706485748291,1,029
22,274.5619201660156,69.1292953491211,1.0,357.2938537597656,137.9442596435547,0.1578574776649475,640.6098022460938,7.863628387451172,1.3947486877441406e-5,261.4295654296875,56.441650390625,4.649162292480469e-6,1,029
23,266.20989990234375,67.10775756835938,1.0,348.4355163574219,132.91184997558594,0.9999979734420776,269.8292236328125,65.98957824707031,1.761317253112793e-5,346.8744201660156,132.06033325195312,1.1801719665527344e-5,1,029
24,259.8284606933594,63.973270416259766,1.0,343.15576171875,129.27264404296875,1.0,341.6517639160156,130.75282287597656,3.9130449295043945e-5,338.35162353515625,131.10997009277344,9.581446647644043e-5,1,029
25,253.140869140625,61.66725158691406,1.0,336.57562255859375,127.79988098144531,1.0,338.9881286621094,126.55736541748047,5.91278076171875e-5,335.4645080566406,128.42018127441406,7.736682891845703e-5,1,029
26,246.64837646484375,60.4896354675293,1.0,333.28045654296875,131.4116973876953,0.9999998807907104,530.2735595703125,207.0806884765625,1.0,526.3363647460938,206.8223876953125,0.00022527575492858887,1,029
27,240.25094604492188,58.26115036010742,1.0,323.9455261230469,128.144775390625,0.9905160069465637,529.5458984375,206.1915283203125,1.0,525.606689453125,202.90261840820312,0.0002397596836090088,1,029
28,235.6482391357422,56.49673843383789,1.0,314.9940490722656,125.14175415039062,0.9999949932098389,530.083984375,206.3462677001953,1.0,525.7865600585938,203.1226348876953,0.00017067790031433105,1,029
29,235.76943969726562,55.349971771240234,1.0,314.1839904785156,121.24392700195312,1.0,530.2357788085938,205.956298828125,1.0,525.8546752929688,205.99688720703125,0.00022920966148376465,1,029
30,240.06417846679688,54.19149398803711,1.0,314.6354675292969,121.63396453857422,1.0,529.8593139648438,206.62261962890625,1.0,525.3366088867188,206.59982299804688,0.00016063451766967773,1,029
31,244.2198028564453,55.87221908569336,1.0,316.25830078125,123.28921508789062,0.9999995231628418,529.761962890625,206.46054077148438,1.0,525.841796875,203.12823486328125,0.00024390220642089844,1,029
32,256.8670349121094,62.59727096557617,1.0,314.03167724609375,126.59207153320312,1.0,529.20458984375,206.18714904785156,1.0,524.9608764648438,205.77882385253906,0.00025984644889831543,1,029
33,264.9174499511719,67.84747314453125,1.0,304.2919616699219,127.64738464355469,0.9999325275421143,529.7351684570312,206.35108947753906,1.0,525.7203369140625,203.21719360351562,0.0003095269203186035,1,029
34,271.0098571777344,70.86084747314453,1.0,528.9835815429688,206.77261352539062,7.835030555725098e-5,529.8861694335938,205.64695739746094,1.0,528.5363159179688,206.96449279785156,0.00022166967391967773,1,029
35,280.9665222167969,70.58563995361328,1.0,288.7774963378906,73.46314239501953,0.0001920461654663086,529.27099609375,205.8484649658203,1.0,526.077392578125,205.52285766601562,0.00034102797508239746,1,029
36,286.1830749511719,69.44610595703125,1.0,248.2468719482422,117.17566680908203,0.7303609848022461,530.03515625,205.74899291992188,1.0,525.6550903320312,205.63916015625,0.00019156932830810547,1,029
37,287.6576232910156,68.09872436523438,1.0,253.57247924804688,114.23426055908203,1.0,530.0718994140625,206.175537109375,1.0,525.9755859375,202.94024658203125,0.00028195977210998535,1,029
38,289.5174865722656,68.79322052001953,1.0,253.49171447753906,112.3150863647461,0.9969311952590942,529.8026733398438,206.3178253173828,1.0,528.0305786132812,207.259033203125,0.00017267465591430664,1,029
39,292.57672119140625,69.53279876708984,1.0,296.287841796875,71.42939758300781,7.471442222595215e-5,530.4821166992188,206.20681762695312,1.0,526.531494140625,203.14779663085938,0.00022834539413452148,1,029
40,295.85565185546875,68.4428939819336,1.0,298.75872802734375,71.18794250488281,9.331107139587402e-5,530.1574096679688,206.32908630371094,1.0,525.7553100585938,206.6788787841797,0.00019186735153198242,1,029
41,298.2513427734375,69.38996124267578,0.9999998807907104,304.25286865234375,72.85441589355469,0.00010561943054199219,529.8126831054688,205.99765014648438,1.0,526.3633422851562,205.57875061035156,0.00023254752159118652,1,029
42,531.0548095703125,211.57151794433594,0.00013843178749084473,261.2694396972656,78.03555297851562,0.9999999403953552,529.6050415039062,206.5127410888672,1.0,528.1121826171875,207.59579467773438,0.0002530813217163086,1,029
43,341.8927307128906,86.16780853271484,0.9999977350234985,268.18170166015625,71.66690826416016,0.9999791383743286,530.1286010742188,206.44784545898438,1.0,526.2003784179688,203.2683868408203,0.0002740621566772461,1,029
