bodyparts_coords,fishhead_x,fishhead_y,fishhead_likelihood,fishtail_x,fishtail_y,fishtail_likelihood,redlight_x,redlight_y,redlight_likelihood,fooddrop_x,fooddrop_y,fooddrop_likelihood,fishnum,recordingnum
0,353.7498474121094,282.8376159667969,0.9999994039535522,404.6304931640625,233.26318359375,0.9998073577880859,355.2754821777344,283.6723327636719,0.0003598332405090332,353.3852233886719,275.23223876953125,0.00021344423294067383,1,017
1,355.2955322265625,283.4212646484375,0.9999984502792358,404.9729919433594,234.20468139648438,0.9995025992393494,356.0183410644531,284.14117431640625,0.00019568204879760742,346.9114685058594,277.7210998535156,0.00037291646003723145,1,017
2,355.04241943359375,284.9132995605469,1.0,401.4303283691406,234.02378845214844,0.04599106311798096,356.57452392578125,281.8363037109375,0.00023981928825378418,347.23468017578125,279.0546569824219,0.0010277330875396729,1,017
3,357.3507385253906,286.88983154296875,0.9999996423721313,403.9191589355469,238.9154815673828,0.925126314163208,357.0588073730469,287.0706787109375,0.0003764033317565918,354.9862060546875,279.912841796875,0.00016564130783081055,1,017
4,357.7550964355469,288.1636962890625,1.0,405.6390380859375,238.65908813476562,0.9999955892562866,357.7145080566406,287.5458984375,0.00011628866195678711,405.77691650390625,239.78466796875,0.0001983940601348877,1,017
5,359.9488830566406,289.0132141113281,0.9999998807907104,400.01953125,236.28160095214844,0.009994715452194214,376.5675354003906,286.4200134277344,0.0001755356788635254,360.65093994140625,280.81170654296875,9.554624557495117e-5,1,017
6,362.2928466796875,290.677001953125,0.9999999403953552,405.8684997558594,241.3615264892578,1.0,378.2605895996094,290.46002197265625,0.0001024007797241211,405.319091796875,242.83908081054688,0.0002072155475616455,1,017
7,366.9335632324219,291.8957214355469,1.0,404.99627685546875,243.0977783203125,1.0,646.7315673828125,30.113590240478516,5.751848220825195e-5,403.15704345703125,245.17056274414062,0.0002250969409942627,1,017
8,367.2805480957031,293.6628112792969,1.0,403.86663818359375,243.1324920654297,1.0,406.4345397949219,241.7628173828125,7.957220077514648e-5,346.0328063964844,292.5209655761719,0.00011548399925231934,1,017
9,364.6268005371094,294.9083557128906,1.0,403.5129089355469,245.5069122314453,1.0,360.1492919921875,292.3447265625,8.192658424377441e-5,402.46923828125,247.61160278320312,0.00018015503883361816,1,017
10,363.9590148925781,296.2268371582031,0.9999998807907104,404.9950866699219,246.058837890625,1.0,360.5907897949219,293.9501953125,0.0001011192798614502,401.6551818847656,245.1577911376953,0.0001112818717956543,1,017
11,368.4870910644531,298.1668395996094,1.0,404.369140625,246.55270385742188,1.0,365.5510559082031,296.5358581542969,8.466839790344238e-5,334.4895935058594,244.276123046875,0.000352323055267334,1,017
12,367.5159606933594,297.60589599609375,1.0,404.07147216796875,248.21571350097656,1.0,365.68707275390625,297.47991943359375,0.0001232624053955078,360.802490234375,289.6612548828125,0.00042310357093811035,1,017
13,368.2564697265625,298.7560729980469,1.0,402.75640869140625,249.67941284179688,1.0,366.0840148925781,297.8363037109375,0.00014033913612365723,361.6786804199219,290.4585876464844,0.00043395161628723145,1,017
14,368.9491271972656,298.76397705078125,1.0,403.7098693847656,250.39537048339844,1.0,366.5534973144531,297.86090087890625,0.00011813640594482422,361.8017578125,290.7117919921875,0.00033861398696899414,1,017
15,368.566162109375,298.82379150390625,1.0,400.01007080078125,251.73582458496094,0.9982669353485107,371.2615661621094,300.40667724609375,9.492039680480957e-5,361.5879211425781,291.3038635253906,0.00023555755615234375,1,017
16,367.56585693359375,298.610107421875,1.0,403.6970520019531,250.2428741455078,0.9999998807907104,367.9548034667969,300.6636962890625,8.112192153930664e-5,401.5218200683594,255.83306884765625,0.00010851025581359863,1,017
17,368.96160888671875,298.8447265625,1.0,403.5404968261719,253.0668487548828,1.0,407.1688537597656,251.19117736816406,8.32974910736084e-5,333.30780029296875,252.83218383789062,0.0004991888999938965,1,017
18,367.75103759765625,299.1242980957031,1.0,401.2463684082031,251.9095458984375,0.9999998211860657,365.82159423828125,302.2252502441406,9.509921073913574e-5,326.08892822265625,255.443115234375,0.00013521313667297363,1,017
19,369.5254211425781,299.1980895996094,1.0,403.4119873046875,252.49049377441406,1.0,648.466552734375,330.836181640625,0.00011533498764038086,404.5389709472656,255.6258544921875,0.00023728609085083008,1,017
20,367.4877014160156,300.0148620605469,1.0,403.7128601074219,253.3130645751953,1.0,407.44573974609375,250.5831756591797,7.730722427368164e-5,362.0441589355469,292.2110290527344,0.00026476383209228516,1,017
21,367.16436767578125,300.1580810546875,1.0,403.5810852050781,252.3871612548828,1.0,406.9456787109375,250.31509399414062,6.595253944396973e-5,362.3490905761719,292.6800537109375,0.00012177228927612305,1,017
22,368.7066650390625,300.0069580078125,1.0,404.546630859375,254.08010864257812,1.0,363.1035461425781,300.78778076171875,5.6684017181396484e-5,405.1395568847656,255.85520935058594,0.00023552775382995605,1,017
23,366.9586181640625,300.0950622558594,1.0,405.32586669921875,253.65045166015625,0.999996542930603,364.75439453125,299.0487060546875,0.00012880563735961914,361.4823303222656,291.5296936035156,0.0003542006015777588,1,017
24,367.8519287109375,300.6833801269531,1.0,403.9975891113281,252.5698699951172,0.9999998807907104,371.46051025390625,301.2349548339844,7.2479248046875e-5,325.44415283203125,257.9171447753906,0.00012627243995666504,1,017
25,368.8175354003906,300.8555603027344,1.0,404.3798828125,254.95462036132812,0.9999997615814209,407.8165283203125,252.37918090820312,4.5925378799438477e-5,403.7989501953125,255.05935668945312,0.00027298927307128906,1,017
26,367.512451171875,300.8876647949219,1.0,403.6961669921875,256.2702941894531,1.0,530.2106323242188,207.58782958984375,1.0,528.827880859375,207.8935089111328,0.0005962848663330078,1,017
27,369.3763732910156,300.7848815917969,1.0,404.594970703125,254.9326171875,1.0,529.53466796875,207.02362060546875,1.0,526.7357177734375,206.9268341064453,0.0002815723419189453,1,017
28,369.9084777832031,303.28155517578125,1.0,401.6040954589844,253.96449279785156,0.9999999403953552,529.9689331054688,207.1832275390625,1.0,336.03973388671875,248.60044860839844,0.001263260841369629,1,017
29,365.2980041503906,303.5012512207031,0.9999998807907104,401.8734436035156,254.06956481933594,0.9999999403953552,529.902099609375,207.09197998046875,1.0,333.0646667480469,249.28135681152344,0.004136145114898682,1,017
30,368.3858642578125,303.80712890625,1.0,334.9527587890625,247.29495239257812,0.9999999403953552,530.3384399414062,207.10983276367188,1.0,333.1019592285156,249.82119750976562,0.001301795244216919,1,017
31,367.1852111816406,304.4778137207031,0.9999998807907104,399.9080810546875,252.7153778076172,0.9999997615814209,530.0939331054688,206.70762634277344,1.0,336.442626953125,247.9083709716797,0.0007933080196380615,1,017
32,368.5780334472656,303.8866271972656,1.0,400.5620422363281,255.6211395263672,1.0,530.5633544921875,207.1747589111328,1.0,335.73590087890625,249.48170471191406,0.0022536516189575195,1,017
33,365.04632568359375,303.0282897949219,0.9999999403953552,400.6101379394531,254.74404907226562,0.9999998807907104,529.6636962890625,207.07052612304688,1.0,333.9907531738281,248.06048583984375,0.000422060489654541,1,017
34,366.8856506347656,305.13330078125,0.9999998807907104,399.96075439453125,256.1734619140625,0.9999990463256836,529.8931884765625,206.78285217285156,1.0,336.06939697265625,251.1387481689453,0.0005760490894317627,1,017
35,365.6251525878906,303.67877197265625,1.0,398.9011535644531,254.10494995117188,0.9999945163726807,529.8170166015625,206.98098754882812,1.0,401.33123779296875,254.99464416503906,0.0005456507205963135,1,017
36,367.6451110839844,304.8858947753906,1.0,337.912353515625,247.38172912597656,0.9999995231628418,529.7379760742188,207.501953125,1.0,337.747314453125,247.49571228027344,0.0023491382598876953,1,017
37,366.8622131347656,305.879150390625,1.0,396.9923095703125,252.7886199951172,0.9999971389770508,529.9439086914062,207.05328369140625,1.0,526.328857421875,206.90487670898438,0.00045287609100341797,1,017
38,367.78265380859375,307.7627258300781,1.0,398.0222473144531,254.6151885986328,1.0,529.2642211914062,206.43484497070312,1.0,526.891357421875,206.4796142578125,0.0004704892635345459,1,017
