bodyparts_coords,fishhead_x,fishhead_y,fishhead_likelihood,fishtail_x,fishtail_y,fishtail_likelihood,redlight_x,redlight_y,redlight_likelihood,fooddrop_x,fooddrop_y,fooddrop_likelihood,fishnum,recordingnum
0,83.88394165039062,337.78631591796875,1.0,123.27931213378906,324.9022216796875,0.04892057180404663,83.83403778076172,339.1074523925781,2.73287296295166e-5,72.23828125,341.9093322753906,5.3554773330688477e-5,1,007
1,82.88398742675781,340.84490966796875,1.0,117.75163269042969,324.8543701171875,1.0,123.20830535888672,325.16143798828125,4.2766332626342773e-5,110.65240478515625,318.9017028808594,6.365776062011719e-5,1,007
2,78.72956848144531,341.58209228515625,1.0,114.39522552490234,319.5332946777344,1.0,117.60736846923828,319.0381164550781,0.0002497732639312744,114.6036376953125,319.07391357421875,0.00027993321418762207,1,007
3,77.48612976074219,338.0951232910156,1.0,115.8418960571289,315.02447509765625,1.0,118.64713287353516,316.12939453125,0.0003039240837097168,116.16332244873047,315.952392578125,0.00060310959815979,1,007
4,77.2071533203125,337.8062438964844,1.0,98.04678344726562,324.83648681640625,0.6657893657684326,83.10675048828125,334.87408447265625,1.850724220275879e-5,60.17340087890625,346.595947265625,1.2606382369995117e-5,1,007
5,75.56936645507812,337.34039306640625,1.0,100.86933135986328,314.03900146484375,1.0,103.04788970947266,314.6060791015625,0.00011816620826721191,100.15843963623047,311.5710754394531,7.730722427368164e-5,1,007
6,75.57027435302734,337.8688659667969,1.0,95.17256164550781,315.258056640625,1.0,97.16456604003906,314.74365234375,0.00013679265975952148,90.78632354736328,312.1466369628906,4.738569259643555e-5,1,007
7,76.60967254638672,337.0877685546875,1.0,94.92909240722656,310.7076416015625,1.0,99.27935028076172,308.1270751953125,5.823373794555664e-5,95.5583724975586,309.5431823730469,0.000569462776184082,1,007
8,77.87984466552734,336.5794982910156,1.0,99.75740051269531,304.71734619140625,1.0,102.97675323486328,303.6922912597656,0.00014388561248779297,99.00640869140625,305.114013671875,0.0006390511989593506,1,007
9,77.13529205322266,335.8247985839844,1.0,98.4427719116211,308.494140625,1.0,102.38741302490234,307.2079162597656,5.0574541091918945e-5,97.74893951416016,308.1750793457031,0.00022801756858825684,1,007
10,77.41806030273438,336.55780029296875,1.0,101.56143188476562,306.5426025390625,1.0,104.96142578125,307.9604797363281,7.453560829162598e-5,98.5112075805664,309.7608947753906,0.0002497434616088867,1,007
11,77.63702392578125,335.441162109375,1.0,105.17571258544922,303.2255859375,1.0,113.29315185546875,303.7378845214844,9.036064147949219e-5,97.17178344726562,309.253662109375,0.0001289844512939453,1,007
12,77.94884490966797,337.1503601074219,1.0,105.27174377441406,305.1252136230469,1.0,113.13697814941406,304.957763671875,7.635354995727539e-5,99.00070190429688,308.67315673828125,0.00011196732521057129,1,007
13,76.5216064453125,336.6595458984375,1.0,104.98129272460938,300.33953857421875,0.9999999403953552,107.73383331298828,300.2923889160156,0.0001887977123260498,103.96401977539062,302.2650451660156,0.0003262460231781006,1,007
