bodyparts_coords,fishhead_x,fishhead_y,fishhead_likelihood,fishtail_x,fishtail_y,fishtail_likelihood,redlight_x,redlight_y,redlight_likelihood,fooddrop_x,fooddrop_y,fooddrop_likelihood,fishnum,recordingnum
0,331.73486328125,131.96315002441406,1.0,449.8809509277344,135.14891052246094,0.00092354416847229,336.7054443359375,132.10401916503906,3.221631050109863e-5,638.9412841796875,2.475369930267334,9.208917617797852e-6,1,005
1,330.99151611328125,132.4140625,1.0,359.8576965332031,134.3599090576172,0.9999560713768005,638.9397583007812,7.232487678527832,8.45193862915039e-5,636.9677124023438,2.893944263458252,1.4871358871459961e-5,1,005
2,332.0496826171875,133.7404022216797,1.0,359.3542175292969,134.75881958007812,0.9953122138977051,344.4515686035156,133.66184997558594,6.631016731262207e-5,344.8728332519531,137.65283203125,1.0848045349121094e-5,1,005
3,331.6343078613281,132.9874267578125,1.0,358.9134216308594,135.5887908935547,0.9959405660629272,640.3825073242188,7.087127685546875,4.202127456665039e-5,315.5935974121094,139.41192626953125,9.775161743164062e-6,1,005
4,331.7908630371094,132.46310424804688,1.0,355.4106140136719,132.25732421875,0.003167480230331421,640.047607421875,7.401285171508789,4.521012306213379e-5,469.7511291503906,131.3367156982422,0.00016739964485168457,1,005
5,331.3084716796875,132.21310424804688,1.0,338.6308898925781,135.48175048828125,7.49826431274414e-5,648.865478515625,222.1854248046875,0.00015458464622497559,317.71240234375,138.23297119140625,1.570582389831543e-5,1,005
6,332.1037902832031,133.3580322265625,0.9999999403953552,354.0384521484375,133.37274169921875,0.1762966811656952,640.3958129882812,5.933076858520508,3.266334533691406e-5,317.2117614746094,138.69320678710938,7.778406143188477e-6,1,005
7,330.7308349609375,134.00990295410156,1.0,339.32061767578125,136.83714294433594,3.236532211303711e-5,334.6531982421875,133.5818328857422,3.743171691894531e-5,315.8454895019531,139.22560119628906,1.6033649444580078e-5,1,005
8,332.3652648925781,133.23971557617188,0.9999998807907104,337.8358154296875,135.392822265625,0.00012230873107910156,335.3658142089844,133.04965209960938,5.733966827392578e-5,318.7508544921875,138.70208740234375,1.576542854309082e-5,1,005
9,331.8897705078125,132.1254119873047,1.0,337.43780517578125,135.75588989257812,0.00010660290718078613,335.2011413574219,131.50979614257812,6.750226020812988e-5,337.7059020996094,136.50990295410156,1.5735626220703125e-5,1,005
10,331.6047058105469,132.48989868164062,1.0,338.7764892578125,134.8282470703125,0.00020805001258850098,649.8861694335938,220.6756134033203,0.0005906522274017334,338.25616455078125,135.53494262695312,2.276897430419922e-5,1,005
11,330.93701171875,133.31346130371094,1.0,639.8780517578125,3.210996150970459,6.67870044708252e-5,334.8232727050781,133.2420196533203,4.348158836364746e-5,316.72747802734375,139.0161895751953,8.374452590942383e-6,1,005
12,330.63616943359375,134.30630493164062,1.0,639.31689453125,2.9152207374572754,3.713369369506836e-5,327.35504150390625,135.24844360351562,2.5719404220581055e-5,317.276611328125,139.25074768066406,3.197789192199707e-5,1,005
13,332.5448303222656,133.18902587890625,0.9999999403953552,647.740966796875,224.34521484375,5.194544792175293e-5,649.1923217773438,224.43601989746094,4.9620866775512695e-5,327.1708068847656,121.28971862792969,1.7911195755004883e-5,1,005
14,331.96234130859375,131.9324951171875,1.0,336.9689636230469,135.3464813232422,8.016824722290039e-5,649.0155029296875,220.2728271484375,0.0003420114517211914,319.4742126464844,138.03054809570312,2.2023916244506836e-5,1,005
15,332.6306457519531,131.27658081054688,1.0,337.2534484863281,135.5389862060547,7.730722427368164e-5,335.79327392578125,130.67660522460938,7.131695747375488e-5,338.9246826171875,136.9425048828125,2.0503997802734375e-5,1,005
16,332.582763671875,133.53965759277344,1.0,638.6051635742188,4.07110071182251,0.00010165572166442871,639.3235473632812,8.079923629760742,0.00014495849609375,336.8562316894531,137.5018768310547,2.6553869247436523e-5,1,005
17,333.3146667480469,134.5433349609375,1.0,638.8363037109375,3.0925021171569824,0.00020304322242736816,336.3623046875,133.8578338623047,6.264448165893555e-5,338.2491149902344,137.53805541992188,6.377696990966797e-6,1,005
18,334.264404296875,132.05142211914062,1.0,337.540283203125,135.30494689941406,9.40561294555664e-5,337.5617370605469,130.92926025390625,8.890032768249512e-5,338.5062255859375,136.76181030273438,2.244114875793457e-5,1,005
19,333.3002624511719,131.95252990722656,1.0,337.619384765625,135.18801879882812,0.00010991096496582031,337.8363342285156,130.89413452148438,0.00015226006507873535,338.7864685058594,136.59727478027344,3.063678741455078e-5,1,005
20,332.72723388671875,132.99661254882812,1.0,337.362060546875,136.10549926757812,6.517767906188965e-5,336.423828125,132.5665740966797,7.608532905578613e-5,334.5822448730469,121.04053497314453,1.2606382369995117e-5,1,005
