"","enrichment","pvalue"
"1",0.0428571428571429,0.800178163167384
"2",0.0142857142857143,0.129574581248091
"3",0.128571428571429,0.0378201418261685
"4",0.0714285714285714,0.616342808885276
"5",0.0857142857142857,0.320519914604079
"6",0.128571428571429,0.0378201418261685
"7",0.114285714285714,0.0739542914579832
"8",0.0428571428571429,0.800178163167384
"9",0.1,0.200566152411849
"10",0.0714285714285714,0.616342808885276
"11",0.0571428571428571,1
"12",0.0857142857142857,0.320519914604079
"13",0.0857142857142857,0.320519914604079
"14",0.142857142857143,0.00953429333339248
"15",0.0714285714285714,0.616342808885276
"16",0.1,0.200566152411849
"17",0.1,0.200566152411849
"18",0.0714285714285714,0.616342808885276
"19",0.0571428571428571,1
"20",0.0142857142857143,0.129574581248091
"21",0.0857142857142857,0.320519914604079
"22",0.157142857142857,0.00320390678160964
"23",0.0571428571428571,1
"24",0.114285714285714,0.0739542914579832
"25",0.1,0.200566152411849
"26",0.0857142857142857,0.320519914604079
"27",0.0714285714285714,0.616342808885276
"28",0.0285714285714286,0.445334634326943
"29",0.1,0.200566152411849
"30",0.0142857142857143,0.129574581248091
"31",0.0857142857142857,0.320519914604079
"32",0.0857142857142857,0.320519914604079
"33",0.1,0.200566152411849
"34",0.0571428571428571,1
"35",0.0142857142857143,0.129574581248091
"36",0.0285714285714286,0.445334634326943
"37",0.157142857142857,0.00320390678160964
"38",0.0857142857142857,0.320519914604079
"39",0.0428571428571429,0.800178163167384
"40",0.0428571428571429,0.800178163167384
"41",0.0714285714285714,0.616342808885276
"42",0.0714285714285714,0.616342808885276
"43",0.0571428571428571,1
"44",0.0285714285714286,0.445334634326943
"45",0.0714285714285714,0.616342808885276
"46",0.128571428571429,0.0378201418261685
"47",0.0571428571428571,1
"48",0.0857142857142857,0.320519914604079
"49",0.0857142857142857,0.320519914604079
"50",0.0285714285714286,0.445334634326943
"51",0.0857142857142857,0.320519914604079
"52",0.0857142857142857,0.320519914604079
"53",0.0857142857142857,0.320519914604079
"54",0,0.0217339311835018
"55",0.0857142857142857,0.320519914604079
"56",0.0857142857142857,0.320519914604079
"57",0.114285714285714,0.0739542914579832
"58",0.0571428571428571,1
"59",0.0714285714285714,0.616342808885276
"60",0.0857142857142857,0.320519914604079
"61",0.0571428571428571,1
"62",0.0428571428571429,0.800178163167384
"63",0.0571428571428571,1
"64",0.1,0.200566152411849
"65",0.0714285714285714,0.616342808885276
"66",0.0285714285714286,0.445334634326943
