"","enrichment","pvalue"
"64",0.104072398190045,0.0268367328595871
"65",0.0769230769230769,0.490879267481546
"66",0.0542986425339367,0.584797035806975
"67",0.0995475113122172,0.0527630871479727
"68",0.0769230769230769,0.490879267481546
"69",0.113122171945701,0.00830016585118916
"70",0.135746606334842,0.000150510792496563
"71",0.081447963800905,0.334741227497214
"72",0.0995475113122172,0.0527630871479727
"73",0.0497737556561086,0.411402754320986
"74",0.0769230769230769,0.490879267481546
"75",0.0723981900452489,0.67943180245483
"76",0.081447963800905,0.334741227497214
"77",0.0769230769230769,0.490879267481546
"78",0.0995475113122172,0.0527630871479727
"79",0.0497737556561086,0.411402754320986
"80",0.0678733031674208,0.784883067148559
"81",0.0723981900452489,0.67943180245483
"82",0.0950226244343891,0.074445474183047
"83",0.0723981900452489,0.67943180245483
"84",0.0542986425339367,0.584797035806975
"85",0.0769230769230769,0.490879267481546
"86",0.14027149321267,5.00192717325152e-05
"87",0.0904977375565611,0.130157929149204
"88",0.085972850678733,0.215043198425525
"89",0.0995475113122172,0.0527630871479727
"90",0.0904977375565611,0.130157929149204
"91",0.117647058823529,0.00351861553214029
"92",0.0723981900452489,0.67943180245483
"93",0.0633484162895928,1
"94",0.081447963800905,0.334741227497214
"95",0.081447963800905,0.334741227497214
"96",0.0950226244343891,0.074445474183047
"97",0.0950226244343891,0.074445474183047
"98",0.0995475113122172,0.0527630871479727
"99",0.081447963800905,0.334741227497214
"100",0.104072398190045,0.0268367328595871
"101",0.0769230769230769,0.490879267481546
"102",0.0723981900452489,0.67943180245483
"103",0.0723981900452489,0.67943180245483
"104",0.081447963800905,0.334741227497214
"105",0.0950226244343891,0.074445474183047
"106",0.0950226244343891,0.074445474183047
"107",0.0633484162895928,1
"108",0.081447963800905,0.334741227497214
"109",0.0904977375565611,0.130157929149204
"110",0.0904977375565611,0.130157929149204
"111",0.104072398190045,0.0268367328595871
"112",0.0497737556561086,0.411402754320986
"113",0.117647058823529,0.00351861553214029
"114",0.104072398190045,0.0268367328595871
"115",0.0904977375565611,0.130157929149204
"116",0.081447963800905,0.334741227497214
"117",0.0723981900452489,0.67943180245483
"118",0.081447963800905,0.334741227497214
"119",0.0633484162895928,1
"120",0.104072398190045,0.0268367328595871
"121",0.081447963800905,0.334741227497214
"122",0.081447963800905,0.334741227497214
"123",0.0950226244343891,0.074445474183047
"124",0.0769230769230769,0.490879267481546
"125",0.085972850678733,0.215043198425525
"126",0.0769230769230769,0.490879267481546
"127",0.0769230769230769,0.490879267481546
"128",0.0678733031674208,0.784883067148559
"129",0.085972850678733,0.215043198425525
"130",0.0769230769230769,0.490879267481546
"131",0.0723981900452489,0.67943180245483
"132",0.0995475113122172,0.0527630871479727
"133",0.0407239819004525,0.168445159290644
"134",0.104072398190045,0.0268367328595871
"135",0.113122171945701,0.00830016585118916
"136",0.0633484162895928,1
"137",0.0995475113122172,0.0527630871479727
"138",0.0588235294117647,0.890453712038134
"139",0.0769230769230769,0.490879267481546
"140",0.0769230769230769,0.490879267481546
"141",0.0950226244343891,0.074445474183047
"142",0.104072398190045,0.0268367328595871
"143",0.085972850678733,0.215043198425525
"144",0.085972850678733,0.215043198425525
"145",0.0950226244343891,0.074445474183047
"146",0.081447963800905,0.334741227497214
"147",0.0904977375565611,0.130157929149204
"148",0.0497737556561086,0.411402754320986
"149",0.0995475113122172,0.0527630871479727
"150",0.104072398190045,0.0268367328595871
"151",0.0678733031674208,0.784883067148559
"152",0.0497737556561086,0.411402754320986
"153",0.0723981900452489,0.67943180245483
"154",0.0633484162895928,1
"155",0.0769230769230769,0.490879267481546
"156",0.0769230769230769,0.490879267481546
"157",0.085972850678733,0.215043198425525
"158",0.081447963800905,0.334741227497214
"159",0.0633484162895928,1
"160",0.104072398190045,0.0268367328595871
"161",0.0769230769230769,0.490879267481546
"162",0.0950226244343891,0.074445474183047
"163",0.081447963800905,0.334741227497214
"164",0.0769230769230769,0.490879267481546
"165",0.085972850678733,0.215043198425525
"166",0.0995475113122172,0.0527630871479727
"167",0.0723981900452489,0.67943180245483
"168",0.0950226244343891,0.074445474183047
"169",0.0723981900452489,0.67943180245483
"170",0.081447963800905,0.334741227497214
"171",0.0995475113122172,0.0527630871479727
"172",0.0769230769230769,0.490879267481546
"173",0.0904977375565611,0.130157929149204
"174",0.0904977375565611,0.130157929149204
"175",0.0678733031674208,0.784883067148559
"176",0.0723981900452489,0.67943180245483
"177",0.0904977375565611,0.130157929149204
"178",0.0723981900452489,0.67943180245483
"179",0.0723981900452489,0.67943180245483
"180",0.0588235294117647,0.890453712038134
"181",0.0950226244343891,0.074445474183047
"182",0.081447963800905,0.334741227497214
"183",0.0904977375565611,0.130157929149204
"184",0.0588235294117647,0.890453712038134
"185",0.0995475113122172,0.0527630871479727
"186",0.0769230769230769,0.490879267481546
"187",0.085972850678733,0.215043198425525
"188",0.108597285067873,0.0129769620247481
"189",0.0588235294117647,0.890453712038134
"190",0.117647058823529,0.00351861553214029
"191",0.081447963800905,0.334741227497214
"192",0.0904977375565611,0.130157929149204
"193",0.0633484162895928,1
"194",0.0723981900452489,0.67943180245483
"195",0.0769230769230769,0.490879267481546
"196",0.108597285067873,0.0129769620247481
"197",0.117647058823529,0.00351861553214029
"198",0.0950226244343891,0.074445474183047
"199",0.0950226244343891,0.074445474183047
"200",0.0723981900452489,0.67943180245483
"201",0.104072398190045,0.0268367328595871
"202",0.085972850678733,0.215043198425525
"203",0.0904977375565611,0.130157929149204
"204",0.085972850678733,0.215043198425525
"205",0.0950226244343891,0.074445474183047
"206",0.113122171945701,0.00830016585118916
"207",0.085972850678733,0.215043198425525
"208",0.085972850678733,0.215043198425525
"209",0.0904977375565611,0.130157929149204
"210",0.0723981900452489,0.67943180245483
"211",0.0769230769230769,0.490879267481546
"212",0.085972850678733,0.215043198425525
"213",0.0995475113122172,0.0527630871479727
"214",0.085972850678733,0.215043198425525
"215",0.081447963800905,0.334741227497214
"216",0.0723981900452489,0.67943180245483
"217",0.0950226244343891,0.074445474183047
"218",0.0723981900452489,0.67943180245483
"219",0.081447963800905,0.334741227497214
"220",0.0995475113122172,0.0527630871479727
"221",0.0723981900452489,0.67943180245483
"222",0.0723981900452489,0.67943180245483
"223",0.0723981900452489,0.67943180245483
"224",0.0723981900452489,0.67943180245483
"225",0.085972850678733,0.215043198425525
